,Papers co-authored with low or lower-middle income countries,No poverty: FWCI,No poverty: publications,Students receiving financial aid,Bottom financial quintile admission target,Bottom financial quintile student success,Low-income student support,Bottom financial quintile student support,Low or lower-middle income countries
student support,Local start-up assistance,Local start-up financial assistance,Programmes for services access,Policy addressing poverty
Technological University Dublin,30.5,80.1,32.6,65.8,83.3,0.0,83.3,83.3,33.3,100.0,100.0,33.3,75.0
Arizona State University (Tempe),61.1,94.1,99.7,70.2,100.0,83.3,83.3,100.0,100.0,100.0,100.0,100.0,100.0
Aalborg University,42.6,86.1,97.9,98.1,100.0,100.0,100.0,100.0,33.3,100.0,33.3,33.3,33.3
Abdullah Gül University,30.5,37.9,3.5,91.8,100.0,83.3,100.0,100.0,83.3,100.0,83.3,100.0,83.3
Almaarefa University,30.5,20.1,0.0,80.3,100.0,100.0,100.0,100.0,100.0,100.0,33.3,100.0,83.3
Aix-Marseille University,51.4,73.2,97.3,69.5,33.3,33.3,66.7,33.3,33.3,83.3,66.7,33.3,83.3
Airlangga University,84.0,98.8,76.2,43.2,33.3,33.3,8.3,33.3,100.0,100.0,33.3,100.0,100.0
Ajou University,83.2,40.4,45.7,91.5,33.3,0.0,33.3,83.3,33.3,100.0,33.3,33.3,8.3
Al-Balqa Applied University,30.5,67.7,10.2,91.8,33.3,83.3,33.3,83.3,100.0,83.3,33.3,33.3,33.3
Al-Farabi Kazakh National University,87.7,76.2,27.6,46.4,33.3,33.3,83.3,83.3,100.0,33.3,33.3,33.3,75.0
Altai State University,30.5,77.8,13.4,59.2,100.0,33.3,100.0,100.0,83.3,100.0,33.3,100.0,16.7
American University,79.3,95.2,94.9,0.3,33.3,0.0,100.0,100.0,83.3,100.0,0.0,100.0,33.3
Applied Science University,30.5,20.1,0.0,45.1,100.0,100.0,100.0,100.0,83.3,100.0,100.0,33.3,33.3
Ahvaz Jundishapur University of Medical Sciences (AJUMS),30.5,61.3,22.2,83.5,33.3,33.3,33.3,33.3,33.3,8.3,33.3,33.3,16.7
Altınbaş University,30.5,76.2,16.4,93.2,100.0,0.0,66.7,66.7,33.3,0.0,0.0,33.3,0.0
An-Najah National University,30.5,67.7,25.0,55.0,33.3,33.3,33.3,33.3,33.3,83.3,33.3,100.0,41.7
Acharya Nagarjuna University,30.5,20.1,0.0,95.7,33.3,33.3,8.3,33.3,33.3,33.3,33.3,33.3,33.3
Ain Shams University,30.5,48.8,13.4,38.4,33.3,100.0,33.3,83.3,33.3,33.3,0.0,33.3,58.3
AKFA University,30.5,20.1,0.0,68.3,33.3,33.3,33.3,33.3,33.3,33.3,0.0,100.0,0.0
Amman Arab University,30.5,20.1,0.0,91.1,33.3,33.3,33.3,33.3,33.3,50.0,0.0,33.3,25.0
Ankara University,75.2,46.7,52.9,17.4,33.3,83.3,100.0,33.3,33.3,8.3,100.0,8.3,8.3
AGH University of Science and Technology,30.5,42.0,25.0,29.0,0.0,33.3,33.3,33.3,33.3,100.0,33.3,33.3,8.3
Ahl Al Bayt University,30.5,20.1,0.0,67.0,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
Aksaray University,30.5,20.1,0.0,5.6,0.0,0.0,33.3,0.0,33.3,33.3,0.0,33.3,25.0
Al Akhawayn University,30.5,35.4,19.4,44.8,33.3,0.0,0.0,0.0,0.0,100.0,33.3,83.3,25.0
Al-Azhar University,30.5,22.4,16.4,47.0,0.0,0.0,33.3,0.0,100.0,33.3,0.0,0.0,33.3
Alexandria University,60.3,65.8,37.3,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al-Furat Al-Awsat Technical University,30.5,20.1,0.0,56.4,33.3,33.3,50.0,33.3,33.3,33.3,33.3,33.3,8.3
Al-Kitab University,30.5,20.1,0.0,29.7,33.3,33.3,8.3,33.3,0.0,33.3,33.3,33.3,16.7
Allama Iqbal Open University,30.5,42.0,16.4,4.3,33.3,33.3,8.3,33.3,33.3,33.3,0.0,8.3,33.3
Al-Maarif University College,30.5,20.1,0.0,7.5,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,25.0
Almaty Management University (AlmaU),30.5,20.1,0.0,8.7,33.3,33.3,33.3,66.7,33.3,33.3,83.3,8.3,25.0
Al-Nisour University College,30.5,20.1,0.0,3.0,33.3,33.3,8.3,33.3,33.3,33.3,33.3,33.3,8.3
Al Turath University,30.5,20.1,0.0,22.1,100.0,100.0,33.3,100.0,33.3,33.3,33.3,8.3,0.0
Alzahra University,30.5,87.5,10.2,9.0,33.3,33.3,83.3,33.3,33.3,83.3,33.3,33.3,33.3
Aqaba University of Technology,30.5,20.1,0.0,51.3,33.3,33.3,33.3,33.3,33.3,83.3,33.3,33.3,16.7
Worldwide: Top,90.7,100.0,100.0,98.1,100.0,66.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Worldwide: 75%,54.6,74.5,60.7,74.2,66.7,33.3,100.0,100.0,83.3,100.0,66.7,83.3,66.7
Worldwide: Median,30.5,51.1,19.4,47.0,33.3,33.3,54.1,33.3,33.3,58.3,33.3,33.3,25.0
Worldwide: 25%,30.5,21.6,3.5,22.5,33.3,0.0,33.3,33.3,33.3,33.3,0.0,33.3,8.3
Worldwide: Bottom,30.5,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
