,Research on poverty,Proportion of students receiving financial aid to attend university because of poverty,University anti-poverty programmes,Community anti-poverty programmes
Technological University Dublin,49.6,65.8,56.6,77.1
Alexandria University,53.8,27.2,0.0,0.0
Altai State University,41.7,59.2,83.3,62.5
Airlangga University,86.6,43.2,41.6,83.3
Ajou University,53.5,91.5,36.6,43.7
Aix-Marseille University,76.5,69.5,40.0,66.6
Aksaray University,15.4,5.6,13.3,22.9
Al Akhawayn University,28.2,44.8,6.7,60.4
An-Najah National University,42.2,55.0,33.3,64.6
Almaty Management University (AlmaU),15.4,8.7,40.0,37.5
Al-Balqa Applied University,36.8,91.8,66.6,45.8
Acharya Nagarjuna University,15.4,95.7,28.3,33.3
Alzahra University,44.1,9.0,43.3,45.8
Abdullah Gül University,23.2,91.8,93.3,91.6
Ahvaz Jundishapur University of Medical Sciences (AJUMS),38.8,83.5,33.3,22.9
Ankara University,56.4,17.4,56.6,31.2
Aalborg University,79.2,98.1,86.7,50.0
AGH University of Science and Technology,32.7,29.0,26.6,43.7
American University,91.0,0.3,63.3,58.3
Aqaba University of Technology,15.4,51.3,33.3,41.6
Allama Iqbal Open University,29.5,4.3,28.3,18.7
Altınbaş University,42.2,93.2,53.3,8.3
Amman Arab University,15.4,91.1,33.3,27.1
Al Turath University,15.4,22.1,73.3,18.7
AKFA University,15.4,68.3,33.3,33.3
Ain Shams University,30.9,38.4,56.6,31.2
Almaarefa University,15.4,80.3,100.0,79.2
Arizona State University (Tempe),87.6,70.2,93.3,100.0
Applied Science University,15.4,45.1,96.7,66.6
Al-Kitab University,15.4,29.7,21.6,29.2
Al-Furat Al-Awsat Technical University,15.4,56.4,36.6,27.0
Al-Maarif University College,15.4,7.5,33.3,31.2
Ahl Al Bayt University,15.4,67.0,33.3,33.3
Al-Nisour University College,15.4,3.0,28.3,27.0
Al-Farabi Kazakh National University,61.2,46.4,66.6,43.7
Al-Azhar University,22.3,47.0,26.7,16.6
Worldwide: Top,98.1,98.1,100.0,100.0
Worldwide: 75%,60.4,74.2,61.6,62.5
Worldwide: Median,41.7,47.0,43.3,43.7
Worldwide: 25%,20.0,22.5,28.3,29.2
Worldwide: Bottom,15.4,0.0,0.0,0.0
