,Research on poverty,Proportion of students receiving financial aid to attend university because of poverty,University anti-poverty programmes,Community anti-poverty programmes
Technological University Dublin,49.6,65.8,56.6,77.1
Assiut University,15.4,52.6,36.6,29.2
Boğaziçi University,56.0,68.6,33.3,62.5
Basrah University College of Science and Technology,15.4,22.5,13.3,0.0
Atılım University,61.6,95.8,1.7,8.3
Bakrie University,16.6,98.1,28.3,54.2
BRAC University,76.7,34.8,60.0,20.8
Beijing Technology and Business University,17.9,37.7,41.6,33.3
Birzeit University,22.3,70.0,56.6,66.6
Bashkir State University,17.9,45.3,40.0,39.6
Azerbaijan University of Architecture and Construction,15.4,7.2,66.7,25.0
Ashesi University,55.4,82.1,83.3,89.6
Babol Noshirvani University of Technology,16.6,65.7,26.6,25.0
Bolu Abant Izzet Baysal University,44.9,33.7,15.0,2.1
Ateneo de Manila University,63.6,41.4,1.7,41.6
Autonomous University of Baja California,27.3,80.9,1.7,31.2
Beykent University,42.8,64.3,33.3,25.0
Bharathiar University,22.3,93.5,46.7,35.4
Bakhtar University,15.4,39.5,20.0,0.0
Bath Spa University,40.1,40.6,68.3,52.1
Bournemouth University,80.8,56.9,50.0,18.8
Arts University Bournemouth,36.2,71.0,60.0,29.2
Chang Gung University,58.8,1.5,43.3,29.2
Beijing Institute of Technology,75.1,31.2,48.3,64.6
Armenian State University of Economics,15.4,75.6,53.3,58.3
Beni-Suef University,15.4,29.1,33.3,50.0
Bezmiâlem Vakif University,46.2,45.0,18.3,16.6
Benha University,32.5,18.7,28.3,39.6
Asia University, Taiwan,48.0,35.5,63.3,31.2
Brunel University London,81.7,23.4,86.7,85.4
Cairo University,53.5,93.5,43.3,58.3
Ceará State University,28.9,22.7,76.7,39.6
Asian Institute of Technology,89.5,80.2,60.0,95.8
Bucharest University of Economic Studies,56.6,33.5,50.0,45.8
Breda University of Applied Sciences,41.4,0.0,0.0,6.2
CES University,23.2,82.0,63.3,31.2
Worldwide: Top,98.1,98.1,100.0,100.0
Worldwide: 75%,60.4,74.2,61.6,62.5
Worldwide: Median,41.7,47.0,43.3,43.7
Worldwide: 25%,20.0,22.5,28.3,29.2
Worldwide: Bottom,15.4,0.0,0.0,0.0
