,Score
Technological University Dublin,61.9
Bucharest University of Economic Studies,46.388
Birzeit University,53.296
BRAC University,48.687
Beykent University,42.318
CES University,50.152
Ceará State University,40.657
Armenian State University of Economics,50.243
Autonomous University of Baja California,36.790
Bolu Abant Izzet Baysal University,25.142
Boğaziçi University,55.662
Bournemouth University,53.005
Brunel University London,67.934
Beijing Technology and Business University,32.251
Benha University,29.433
Bakhtar University,19.407
Cairo University,63.075
Chang Gung University,32.937
Babol Noshirvani University of Technology,34.123
Bath Spa University,49.490
Bharathiar University,50.146
Bezmiâlem Vakif University,32.678
Asian Institute of Technology,81.653
Bakrie University,49.954
Beni-Suef University,31.161
Breda University of Applied Sciences,12.616
Asia University, Taiwan,44.290
Azerbaijan University of Architecture and Construction,27.164
Atılım University,44.794
Ashesi University,76.892
Assiut University,33.492
Arts University Bournemouth,49.445
Beijing Institute of Technology,54.657
Bashkir State University,35.374
Ateneo de Manila University,38.312
Basrah University College of Science and Technology,13.279
Worldwide: Top,90.1
Worldwide: 75%,56.9
Worldwide: Median,46.0
Worldwide: 25%,33.0
Worldwide: Bottom,4.1
