,Papers co-authored with low or lower-middle income countries,No poverty: FWCI,No poverty: publications,Students receiving financial aid,Bottom financial quintile admission target,Bottom financial quintile student success,Low-income student support,Bottom financial quintile student support,Low or lower-middle income countries
student support,Local start-up assistance,Local start-up financial assistance,Programmes for services access,Policy addressing poverty
Technological University Dublin,30.5,80.1,32.6,65.8,83.3,0.0,83.3,83.3,33.3,100.0,100.0,33.3,75.0
Eastern Mediterranean University,97.0,88.6,56.2,95.0,83.3,83.3,83.3,100.0,33.3,100.0,33.3,33.3,83.3
Dublin City University,47.0,96.6,56.2,73.5,100.0,83.3,100.0,83.3,33.3,100.0,100.0,100.0,66.7
Durham University,80.2,93.1,99.3,37.6,33.3,33.3,75.0,100.0,100.0,100.0,100.0,0.0,75.0
EAFIT University,30.5,52.5,49.4,43.8,83.3,33.3,75.0,100.0,33.3,100.0,100.0,100.0,100.0
Charles Darwin University,89.9,94.7,88.0,13.0,83.3,83.3,8.3,100.0,33.3,100.0,0.0,100.0,33.3
Chiang Mai University,65.6,71.9,54.6,70.8,33.3,33.3,100.0,33.3,66.7,33.3,66.7,100.0,25.0
Chungbuk National University,30.5,58.3,32.6,92.1,66.7,33.3,50.0,50.0,33.3,50.0,33.3,33.3,33.3
Comillas Pontifical University,30.5,94.7,35.0,47.3,83.3,0.0,58.3,0.0,83.3,100.0,83.3,83.3,83.3
COMSATS University Islamabad,76.6,68.7,93.7,82.5,33.3,0.0,58.3,33.3,100.0,8.3,33.3,0.0,16.7
CY Cergy Paris University,53.2,76.2,70.5,36.3,83.3,33.3,58.3,33.3,66.7,100.0,100.0,83.3,75.0
Cyprus University of Technology,54.6,99.5,25.0,29.7,100.0,33.3,83.3,100.0,83.3,100.0,100.0,100.0,25.0
Diponegoro University,30.5,36.9,77.0,54.7,83.3,33.3,8.3,33.3,100.0,100.0,33.3,100.0,25.0
Chungnam National University,89.6,36.9,45.7,52.0,66.7,0.0,66.7,66.7,33.3,66.7,33.3,33.3,8.3
De Montfort University,91.9,71.9,77.8,2.8,33.3,100.0,83.3,100.0,33.3,100.0,33.3,33.3,41.7
Ege University,97.7,52.5,39.5,78.6,0.0,0.0,66.7,33.3,0.0,33.3,0.0,33.3,8.3
Concordia University,45.8,55.7,73.5,0.0,33.3,0.0,33.3,33.3,83.3,33.3,33.3,100.0,91.7
Covenant University,62.0,86.4,95.4,4.5,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
Cukurova University,99.3,79.0,45.7,14.7,0.0,0.0,100.0,100.0,0.0,83.3,0.0,83.3,33.3
Doğuş University,30.5,20.1,3.5,89.8,0.0,0.0,83.3,0.0,33.3,33.3,33.3,58.3,16.7
Don State Technical University,30.5,53.6,3.5,81.6,0.0,0.0,8.3,33.3,0.0,100.0,33.3,33.3,8.3
Dunarea de Jos University of Galati,30.5,45.6,16.4,21.4,33.3,33.3,100.0,100.0,0.0,100.0,0.0,83.3,16.7
Erciyes University,84.0,44.6,30.1,17.5,0.0,33.3,66.7,66.7,33.3,83.3,0.0,100.0,8.3
Chang Gung University,30.5,89.8,47.6,1.5,83.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,16.7
Chaoyang University of Technology,30.5,100.0,6.9,14.3,33.3,0.0,75.0,100.0,0.0,33.3,0.0,33.3,8.3
Chernihiv National University of Technology,30.5,20.1,0.0,17.3,33.3,0.0,33.3,0.0,33.3,100.0,0.0,100.0,75.0
Chiba Institute of Technology,30.5,20.1,0.0,7.4,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0
Chubu University,30.5,21.2,13.4,21.0,0.0,0.0,8.3,100.0,33.3,0.0,0.0,0.0,25.0
Chukyo University,30.5,49.9,13.4,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0
Czech University of Life Sciences Prague (CULS),93.2,61.8,71.5,0.7,0.0,0.0,58.3,0.0,83.3,83.3,33.3,0.0,33.3
Damietta University,30.5,40.4,3.5,25.1,83.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,16.7
Deraya University,30.5,20.1,0.0,20.9,33.3,33.3,8.3,33.3,0.0,33.3,33.3,8.3,58.3
Duzce University,30.5,71.0,6.9,10.4,50.0,33.3,41.7,66.7,33.3,100.0,0.0,33.3,75.0
École Centrale de Lyon,30.5,49.3,6.9,58.1,33.3,33.3,8.3,83.3,33.3,0.0,0.0,0.0,0.0
Edo University, Iyamho,30.5,20.1,0.0,9.4,33.3,0.0,8.3,33.3,33.3,33.3,0.0,0.0,8.3
Ehime University,30.5,43.5,10.2,17.8,33.3,33.3,100.0,100.0,33.3,33.3,33.3,33.3,83.3
Worldwide: Top,90.7,100.0,100.0,98.1,100.0,66.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Worldwide: 75%,54.6,74.5,60.7,74.2,66.7,33.3,100.0,100.0,83.3,100.0,66.7,83.3,66.7
Worldwide: Median,30.5,51.1,19.4,47.0,33.3,33.3,54.1,33.3,33.3,58.3,33.3,33.3,25.0
Worldwide: 25%,30.5,21.6,3.5,22.5,33.3,0.0,33.3,33.3,33.3,33.3,0.0,33.3,8.3
Worldwide: Bottom,30.5,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
