,Research on poverty,Proportion of students receiving financial aid to attend university because of poverty,University anti-poverty programmes,Community anti-poverty programmes
Technological University Dublin,49.6,65.8,56.6,77.1
Chukyo University,31.4,2.1,0.0,8.3
COMSATS University Islamabad,80.0,82.5,45.0,14.6
Chubu University,20.7,21.0,28.3,6.2
Chiba Institute of Technology,15.4,7.4,6.7,0.0
Chungbuk National University,41.6,92.1,46.7,37.5
Edo University, Iyamho,15.4,9.4,21.6,10.4
Doğuş University,16.6,89.8,23.3,35.4
EAFIT University,45.6,43.8,65.0,100.0
École Centrale de Lyon,28.7,58.1,38.3,0.0
Don State Technical University,29.1,81.6,8.3,43.7
Czech University of Life Sciences Prague (CULS),73.5,0.7,28.3,37.5
Chaoyang University of Technology,47.5,14.3,41.7,18.7
Eastern Mediterranean University,78.8,95.0,76.6,62.5
Charles Darwin University,91.0,13.0,61.6,58.3
Duzce University,36.8,10.4,45.0,52.1
Covenant University,83.4,4.5,33.3,33.3
Chungnam National University,53.8,52.0,46.7,35.4
Concordia University,59.7,0.0,36.6,64.6
Cukurova University,71.9,14.7,40.0,50.0
De Montfort University,79.3,2.8,70.0,52.1
Diponegoro University,50.1,54.7,51.6,64.6
Ehime University,27.8,17.8,60.0,45.8
CY Cergy Paris University,68.1,36.3,55.0,89.6
Chang Gung University,58.8,1.5,43.3,29.2
Dunarea de Jos University of Galati,30.9,21.4,53.3,50.0
Deraya University,15.4,20.9,21.6,33.3
Chernihiv National University of Technology,15.4,17.3,20.0,68.8
Erciyes University,49.4,17.5,40.0,47.9
Durham University,92.1,37.6,68.3,68.8
Cyprus University of Technology,60.3,29.7,80.0,81.2
Ege University,59.4,78.6,20.0,18.7
Chiang Mai University,63.9,70.8,53.3,56.2
Dublin City University,68.8,73.5,80.0,91.7
Damietta University,24.2,25.1,43.3,29.2
Comillas Pontifical University,55.9,47.3,45.0,87.5
Worldwide: Top,98.1,98.1,100.0,100.0
Worldwide: 75%,60.4,74.2,61.6,62.5
Worldwide: Median,41.7,47.0,43.3,43.7
Worldwide: 25%,20.0,22.5,28.3,29.2
Worldwide: Bottom,15.4,0.0,0.0,0.0
