,Score
Technological University Dublin,61.9
Dublin City University,77.908
Chernihiv National University of Technology,29.213
Czech University of Life Sciences Prague (CULS),35.182
EAFIT University,62.091
Cukurova University,44.068
Chiba Institute of Technology,7.678
Chungnam National University,47.437
Dunarea de Jos University of Galati,37.877
COMSATS University Islamabad,57.591
Chang Gung University,32.937
Chubu University,19.203
Concordia University,39.409
Don State Technical University,41.865
École Centrale de Lyon,32.263
Duzce University,35.055
Diponegoro University,55.037
Deraya University,22.436
De Montfort University,50.242
Damietta University,29.969
Durham University,66.547
Ege University,46.184
Cyprus University of Technology,61.376
Chaoyang University of Technology,30.591
Covenant University,39.077
Comillas Pontifical University,58.354
Doğuş University,42.258
Charles Darwin University,55.670
CY Cergy Paris University,61.446
Edo University, Iyamho,14.066
Chungbuk National University,55.436
Erciyes University,38.297
Eastern Mediterranean University,78.934
Ehime University,36.650
Chiang Mai University,61.555
Chukyo University,10.940
Worldwide: Top,90.1
Worldwide: 75%,56.9
Worldwide: Median,46.0
Worldwide: 25%,33.0
Worldwide: Bottom,4.1
