,Papers co-authored with low or lower-middle income countries,No poverty: FWCI,No poverty: publications,Students receiving financial aid,Bottom financial quintile admission target,Bottom financial quintile student success,Low-income student support,Bottom financial quintile student support,Low or lower-middle income countries
student support,Local start-up assistance,Local start-up financial assistance,Programmes for services access,Policy addressing poverty
Technological University Dublin,30.5,80.1,32.6,65.8,83.3,0.0,83.3,83.3,33.3,100.0,100.0,33.3,75.0
Florida International University,40.5,73.2,96.4,79.9,100.0,100.0,100.0,100.0,83.3,100.0,100.0,100.0,100.0
Hasanuddin University,68.8,89.5,51.2,75.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Federation University Australia,30.5,69.2,54.6,80.8,0.0,100.0,83.3,83.3,83.3,100.0,100.0,100.0,83.3
Federal University of Espírito Santo,30.5,63.4,62.0,64.9,100.0,83.3,100.0,100.0,100.0,100.0,0.0,100.0,83.3
Ewha Womans University,45.6,60.8,83.4,63.5,100.0,33.3,41.7,100.0,33.3,100.0,100.0,83.3,0.0
Federico Santa María Technical University,30.5,92.3,35.0,81.4,33.3,33.3,100.0,100.0,0.0,100.0,100.0,33.3,16.7
Federal University of Pará,30.5,39.4,59.2,40.1,100.0,83.3,100.0,100.0,83.3,100.0,33.3,100.0,16.7
Federal University of Santa Maria,30.5,59.3,30.1,84.7,33.3,33.3,100.0,100.0,33.3,100.0,33.3,33.3,8.3
Federal University of Uberlândia,30.5,36.4,27.6,92.0,0.0,33.3,100.0,33.3,100.0,100.0,0.0,33.3,8.3
Florida Gulf Coast University,30.5,35.9,10.2,81.2,0.0,0.0,100.0,83.3,100.0,100.0,0.0,100.0,0.0
Fluminense Federal University,37.4,44.1,84.5,24.5,33.3,33.3,100.0,100.0,100.0,100.0,33.3,33.3,100.0
Hanyang University,80.4,96.0,69.4,26.3,33.3,0.0,100.0,100.0,33.3,83.3,100.0,100.0,33.3
Federal University of Lavras,84.0,64.8,30.1,28.7,83.3,33.3,75.0,33.3,100.0,100.0,33.3,100.0,8.3
Federal University of Mato Grosso do Sul,30.5,34.4,19.4,43.8,33.3,83.3,100.0,100.0,33.3,100.0,100.0,33.3,8.3
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,30.5,57.7,6.9,23.4,83.3,33.3,50.0,83.3,83.3,100.0,100.0,83.3,0.0
Heliopolis University for Sustainable Development,30.5,20.1,0.0,81.7,33.3,83.3,33.3,33.3,33.3,100.0,83.3,33.3,33.3
Escuela Superior Politécnica del Litoral,30.5,79.0,43.7,34.1,33.3,33.3,50.0,50.0,33.3,83.3,33.3,0.0,100.0
Federal University of Itajubá,30.5,64.8,10.2,33.9,33.3,0.0,75.0,83.3,83.3,100.0,33.3,33.3,8.3
Helwan University,100.0,97.2,22.2,32.5,33.3,0.0,33.3,33.3,33.3,33.3,33.3,66.7,66.7
Erzincan Binali Yıldırım University,30.5,20.1,3.5,17.4,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0
Eskişehir Osmangazi University,30.5,39.9,25.0,12.3,0.0,0.0,8.3,50.0,33.3,0.0,0.0,0.0,0.0
Federal University of Piauí,30.5,39.4,22.2,0.0,50.0,33.3,100.0,100.0,100.0,33.3,0.0,33.3,25.0
Frankfurt School of Finance & Management,80.4,58.8,32.6,3.6,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0
Fu Jen Catholic University,30.5,54.6,39.5,29.0,33.3,33.3,75.0,33.3,33.3,33.3,33.3,33.3,16.7
Future University in Egypt,30.5,20.1,3.5,5.7,33.3,0.0,33.3,100.0,0.0,33.3,33.3,83.3,75.0
Gangadhar Meher University,30.5,20.1,0.0,93.9,33.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Global Humanistic University,30.5,20.1,0.0,54.7,33.3,33.3,0.0,33.3,33.3,33.3,0.0,33.3,8.3
Government College University Faisalabad,30.5,66.8,39.5,47.1,33.3,33.3,33.3,33.3,33.3,8.3,33.3,33.3,0.0
Government College University Lahore,30.5,37.9,22.2,34.2,33.3,33.3,8.3,33.3,33.3,33.3,0.0,33.3,16.7
Government College Women University Faisalabad,30.5,20.1,10.2,32.0,33.3,33.3,8.3,33.3,0.0,33.3,33.3,33.3,16.7
Grigore T. Popa University of Medicine and Pharmacy,30.5,44.6,22.2,15.9,33.3,0.0,75.0,100.0,100.0,33.3,33.3,0.0,0.0
Grodno State Medical University,30.5,27.0,3.5,0.0,0.0,0.0,75.0,100.0,0.0,0.0,0.0,0.0,0.0
Hagoromo University of International Studies,30.5,20.1,0.0,67.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,8.3
Haliç University,30.5,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hanoi University of Science and Technology,100.0,33.9,32.6,5.5,33.3,33.3,33.3,66.7,33.3,33.3,33.3,100.0,33.3
Worldwide: Top,90.7,100.0,100.0,98.1,100.0,66.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Worldwide: 75%,54.6,74.5,60.7,74.2,66.7,33.3,100.0,100.0,83.3,100.0,66.7,83.3,66.7
Worldwide: Median,30.5,51.1,19.4,47.0,33.3,33.3,54.1,33.3,33.3,58.3,33.3,33.3,25.0
Worldwide: 25%,30.5,21.6,3.5,22.5,33.3,0.0,33.3,33.3,33.3,33.3,0.0,33.3,8.3
Worldwide: Bottom,30.5,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
