,Research on poverty,Proportion of students receiving financial aid to attend university because of poverty,University anti-poverty programmes,Community anti-poverty programmes
Technological University Dublin,49.6,65.8,56.6,77.1
Government College University Lahore,30.2,34.2,28.3,20.8
Federal University of Uberlândia,31.6,92.0,53.3,35.4
Federal University of Lavras,56.9,28.7,65.0,60.4
Government College Women University Faisalabad,19.1,32.0,21.6,29.2
Federal University of Espírito Santo,54.4,64.9,96.7,70.8
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,31.8,23.4,66.6,70.8
Federal University of Itajubá,35.7,33.9,55.0,43.7
Frankfurt School of Finance & Management,54.7,3.6,0.0,2.1
Escuela Superior Politécnica del Litoral,53.4,34.1,40.0,54.2
Grigore T. Popa University of Medicine and Pharmacy,32.6,15.9,61.7,16.6
Hanoi University of Science and Technology,50.6,5.5,40.0,50.0
Federal University of Mato Grosso do Sul,27.8,43.8,70.0,60.4
Federal University of Santa Maria,41.0,84.7,60.0,43.7
Global Humanistic University,15.4,54.7,26.6,18.7
Hagoromo University of International Studies,15.4,67.9,0.0,4.2
Fluminense Federal University,57.3,24.5,73.3,66.6
Hanyang University,82.1,26.3,53.3,79.2
Heliopolis University for Sustainable Development,15.4,81.7,43.3,62.5
Eskişehir Osmangazi University,31.9,12.3,18.3,0.0
Gangadhar Meher University,15.4,93.9,13.3,0.0
Hasanuddin University,69.9,75.4,100.0,100.0
Haliç University,15.4,0.0,0.0,0.0
Government College University Faisalabad,47.3,47.1,33.3,18.7
Future University in Egypt,16.6,5.7,33.3,56.2
Erzincan Binali Yıldırım University,16.6,17.4,6.7,0.0
Ewha Womans University,65.2,63.5,61.7,70.8
Federico Santa María Technical University,55.1,81.4,53.3,62.5
Florida Gulf Coast University,25.0,81.2,56.7,50.0
Fu Jen Catholic University,42.8,29.0,41.6,29.2
Grodno State Medical University,19.2,0.0,35.0,0.0
Helwan University,70.1,32.5,26.6,50.0
Federal University of Pará,44.4,40.1,93.3,62.5
Federation University Australia,53.8,80.8,70.0,95.8
Florida International University,73.3,79.9,96.7,100.0
Federal University of Piauí,30.7,0.0,76.7,22.9
Worldwide: Top,98.1,98.1,100.0,100.0
Worldwide: 75%,60.4,74.2,61.6,62.5
Worldwide: Median,41.7,47.0,43.3,43.7
Worldwide: 25%,20.0,22.5,28.3,29.2
Worldwide: Bottom,15.4,0.0,0.0,0.0
