,Score
Technological University Dublin,61.9
Federal University of Lavras,51.981
Government College Women University Faisalabad,25.482
Heliopolis University for Sustainable Development,50.547
Global Humanistic University,29.362
Federico Santa María Technical University,63.488
Ewha Womans University,65.223
Federation University Australia,74.469
Federal University of Mato Grosso do Sul,49.334
Escuela Superior Politécnica del Litoral,45.264
Hanyang University,59.750
Frankfurt School of Finance & Management,16.227
Eskişehir Osmangazi University,16.160
Hasanuddin University,85.264
Grigore T. Popa University of Medicine and Pharmacy,31.115
Federal University of Piauí,31.210
Fluminense Federal University,54.302
Federal University of Espírito Santo,70.722
Grodno State Medical University,13.233
Government College University Lahore,28.673
Federal University of Santa Maria,57.817
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,46.535
Hanoi University of Science and Technology,35.836
Gangadhar Meher University,32.563
Federal University of Uberlândia,53.788
Hagoromo University of International Studies,23.443
Fu Jen Catholic University,35.672
Future University in Egypt,26.628
Erzincan Binali Yıldırım University,10.720
Government College University Faisalabad,37.451
Federal University of Pará,58.653
Haliç University,4.140
Federal University of Itajubá,41.503
Helwan University,45.359
Florida International University,86.616
Florida Gulf Coast University,53.209
Worldwide: Top,90.1
Worldwide: 75%,56.9
Worldwide: Median,46.0
Worldwide: 25%,33.0
Worldwide: Bottom,4.1
