,Research on poverty,Proportion of students receiving financial aid to attend university because of poverty,University anti-poverty programmes,Community anti-poverty programmes
Technological University Dublin,49.6,65.8,56.6,77.1
Institut Mines-Télécom Business School,15.4,74.8,33.3,22.9
Institut Teknologi Sepuluh Nopember,62.5,68.0,100.0,95.8
International Christian University,28.6,0.0,20.0,0.0
Holy Spirit University of Kaslik,45.6,95.1,33.3,64.6
Indira Gandhi Delhi Technical University for Women,15.4,29.5,28.3,70.8
Herzen State Pedagogical University of Russia,24.1,43.1,46.6,20.8
Irkutsk National Research Technical University,17.9,96.2,60.0,50.0
IPB University,53.9,61.3,80.0,81.2
Immanuel Kant Baltic Federal University,16.6,47.6,21.6,33.3
IMT Atlantique,47.5,69.5,26.6,45.8
Istanbul Technical University,41.7,55.3,63.3,60.4
Instituto Politécnico Nacional (IPN),55.9,75.0,43.3,35.4
Institut Teknologi PLN,15.4,9.5,6.7,33.3
Islamic Azad University, Najafabad Branch (IAUN),42.7,30.7,13.3,31.2
Islamic University of Lebanon,15.4,92.3,66.6,58.3
Instituto Tecnológico Metropolitano,45.4,84.3,73.3,39.6
Indian Institute of Technology Guwahati,39.7,25.8,25.0,22.9
Ibn Tofaïl University,19.1,78.1,100.0,100.0
International University of Rabat,15.4,68.4,70.0,45.8
Ilma University,15.4,87.9,33.3,66.6
Iqra University,51.5,55.3,33.3,47.9
Hiroshima University,76.9,75.2,60.0,50.0
İstinye University,15.4,32.6,16.7,10.4
Innopolis University,26.2,1.0,20.0,0.0
ISCTE-University Institute of Lisbon,73.3,33.0,43.3,66.6
Istanbul Sabahattin Zaim University,27.0,91.5,56.6,50.0
Istanbul Aydın University,17.9,96.1,46.7,33.3
Independent University, Bangladesh,74.9,59.8,20.0,0.0
Indraprastha Institute of Information Technology Delhi,48.7,40.5,16.7,20.8
Indian Institute of Technology Gandhinagar,18.9,66.8,36.7,45.8
Indian Institute of Technology Indore,47.6,38.0,33.3,45.8
IMT Mines Alès,15.4,77.8,56.6,22.9
ITESO, Jesuit University of Guadalajara,45.9,77.0,33.3,56.2
ITMO University,61.9,52.8,53.3,45.8
Iran University of Medical Sciences,57.3,77.6,83.3,79.2
Worldwide: Top,98.1,98.1,100.0,100.0
Worldwide: 75%,60.4,74.2,61.6,62.5
Worldwide: Median,41.7,47.0,43.3,43.7
Worldwide: 25%,20.0,22.5,28.3,29.2
Worldwide: Bottom,15.4,0.0,0.0,0.0
