,Score
Technological University Dublin,61.9
Iqra University,47.510
Islamic Azad University, Najafabad Branch (IAUN),30.072
IPB University,68.194
Istanbul Technical University,54.676
IMT Atlantique,48.275
International Christian University,12.335
Iran University of Medical Sciences,73.796
IMT Mines Alès,43.448
Ilma University,50.861
Holy Spirit University of Kaslik,60.515
İstinye University,19.170
Institut Teknologi Sepuluh Nopember,80.258
Immanuel Kant Baltic Federal University,29.995
Irkutsk National Research Technical University,56.102
Indian Institute of Technology Guwahati,28.708
ITESO, Jesuit University of Guadalajara,53.812
Ibn Tofaïl University,72.257
ISCTE-University Institute of Lisbon,54.015
Institut Teknologi PLN,15.907
Indraprastha Institute of Information Technology Delhi,32.712
Innopolis University,11.951
Indian Institute of Technology Gandhinagar,42.108
Institut Mines-Télécom Business School,37.283
Indira Gandhi Delhi Technical University for Women,34.911
Hiroshima University,66.358
Islamic University of Lebanon,57.802
International University of Rabat,49.239
Instituto Politécnico Nacional (IPN),53.466
Independent University, Bangladesh,40.975
Instituto Tecnológico Metropolitano,60.975
Herzen State Pedagogical University of Russia,33.684
Istanbul Aydın University,49.182
Istanbul Sabahattin Zaim University,56.518
Indian Institute of Technology Indore,41.305
ITMO University,53.763
Worldwide: Top,90.1
Worldwide: 75%,56.9
Worldwide: Median,46.0
Worldwide: 25%,33.0
Worldwide: Bottom,4.1
