,Papers co-authored with low or lower-middle income countries,No poverty: FWCI,No poverty: publications,Students receiving financial aid,Bottom financial quintile admission target,Bottom financial quintile student success,Low-income student support,Bottom financial quintile student support,Low or lower-middle income countries
student support,Local start-up assistance,Local start-up financial assistance,Programmes for services access,Policy addressing poverty
Technological University Dublin,30.5,80.1,32.6,65.8,83.3,0.0,83.3,83.3,33.3,100.0,100.0,33.3,75.0
King’s College London,80.7,99.8,100.0,48.7,100.0,0.0,100.0,100.0,100.0,100.0,83.3,100.0,100.0
Jeonbuk National University,68.8,71.0,30.1,92.7,100.0,33.3,83.3,100.0,33.3,33.3,100.0,100.0,100.0
King Mongkut’s University of Technology Thonburi,100.0,100.0,6.9,76.8,100.0,33.3,33.3,33.3,33.3,100.0,100.0,100.0,100.0
King Abdulaziz University,95.7,76.6,72.5,96.2,33.3,33.3,33.3,33.3,33.3,100.0,33.3,33.3,33.3
Kangwon National University,30.5,55.1,39.5,76.2,33.3,33.3,66.7,100.0,33.3,100.0,33.3,33.3,33.3
Kardan University,30.5,20.1,0.0,82.1,33.3,33.3,33.3,100.0,83.3,33.3,100.0,33.3,83.3
Kateb University,30.5,20.1,0.0,97.5,33.3,33.3,33.3,33.3,0.0,100.0,33.3,100.0,100.0
Khon Kaen University,94.3,79.7,72.5,43.1,33.3,33.3,83.3,33.3,100.0,100.0,33.3,33.3,100.0
Izmir University of Economics,30.5,98.8,10.2,94.6,0.0,0.0,33.3,0.0,66.7,33.3,0.0,33.3,16.7
JSS Academy of Higher Education and Research,30.5,20.1,0.0,85.5,33.3,33.3,33.3,33.3,33.3,100.0,33.3,66.7,33.3
Kalasalingam Academy of Research and Education,30.5,20.1,3.5,73.2,33.3,33.3,66.7,66.7,33.3,66.7,66.7,50.0,8.3
Kazan Federal University,30.5,62.9,35.0,22.2,100.0,33.3,100.0,100.0,83.3,100.0,33.3,33.3,83.3
KEDGE Business School (Bordeaux),54.6,56.2,43.7,9.0,33.3,0.0,100.0,100.0,100.0,100.0,100.0,33.3,100.0
Keio University,57.6,49.9,78.6,17.4,33.3,33.3,100.0,100.0,33.3,75.0,100.0,33.3,25.0
Kuban State Technological University,30.5,20.1,0.0,50.2,83.3,33.3,100.0,100.0,100.0,100.0,33.3,33.3,33.3
Kagawa University,30.5,45.1,16.4,92.1,0.0,0.0,75.0,0.0,33.3,33.3,33.3,8.3,0.0
Kaohsiung Medical University,30.5,63.9,56.2,28.4,33.3,33.3,100.0,100.0,83.3,33.3,33.3,33.3,33.3
Khwaja Fareed University of Engineering and Information Technology,30.5,20.1,0.0,65.6,33.3,33.3,75.0,66.7,33.3,33.3,33.3,33.3,25.0
King Edward Medical University,30.5,64.8,6.9,66.2,33.3,33.3,8.3,33.3,50.0,33.3,33.3,33.3,16.7
King Khalid University,100.0,100.0,27.6,0.0,0.0,0.0,33.3,33.3,33.3,83.3,83.3,58.3,25.0
King Mongkut’s Institute of Technology Ladkrabang,30.5,27.0,6.9,46.4,100.0,33.3,66.7,100.0,33.3,33.3,33.3,66.7,8.3
KPR Institute of Engineering and Technology,30.5,20.1,0.0,73.3,33.3,33.3,8.3,66.7,33.3,33.3,33.3,100.0,25.0
Ivanovo State University of Chemistry and Technology,30.5,20.1,0.0,65.3,0.0,0.0,100.0,100.0,0.0,33.3,33.3,33.3,8.3
Japan University of Economics,30.5,20.1,0.0,25.5,33.3,33.3,8.3,33.3,33.3,100.0,33.3,33.3,0.0
Kafrelsheikh University,100.0,32.0,3.5,32.7,33.3,33.3,33.3,33.3,83.3,33.3,33.3,33.3,33.3
Kanagawa University,30.5,20.1,3.5,21.0,0.0,0.0,8.3,33.3,33.3,75.0,0.0,8.3,8.3
Kanazawa University,30.5,50.9,16.4,36.8,0.0,33.3,0.0,100.0,50.0,66.7,0.0,8.3,8.3
Kansai University,65.6,45.1,32.6,5.3,33.3,33.3,8.3,0.0,33.3,100.0,0.0,100.0,8.3
Karabük University,100.0,20.1,16.4,8.2,33.3,33.3,66.7,33.3,33.3,33.3,0.0,8.3,33.3
Karaganda Economic University of Kazpotrebsouz,30.5,20.1,3.5,33.8,0.0,0.0,66.7,33.3,33.3,33.3,33.3,8.3,16.7
Kazakh National Pedagogical University Abai,30.5,87.2,10.2,1.7,50.0,66.7,33.3,66.7,33.3,33.3,33.3,33.3,25.0
Kazan National Research Technical University,30.5,20.1,0.0,11.3,33.3,33.3,100.0,100.0,33.3,33.3,33.3,33.3,8.3
Khazar University,30.5,20.1,0.0,79.3,33.3,0.0,8.3,33.3,33.3,8.3,33.3,33.3,8.3
Kherson State Maritime Academy,30.5,20.1,0.0,16.9,0.0,0.0,75.0,33.3,33.3,33.3,0.0,8.3,0.0
Kogakuin University,30.5,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Worldwide: Top,90.7,100.0,100.0,98.1,100.0,66.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Worldwide: 75%,54.6,74.5,60.7,74.2,66.7,33.3,100.0,100.0,83.3,100.0,66.7,83.3,66.7
Worldwide: Median,30.5,51.1,19.4,47.0,33.3,33.3,54.1,33.3,33.3,58.3,33.3,33.3,25.0
Worldwide: 25%,30.5,21.6,3.5,22.5,33.3,0.0,33.3,33.3,33.3,33.3,0.0,33.3,8.3
Worldwide: Bottom,30.5,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
