,Research on poverty,Proportion of students receiving financial aid to attend university because of poverty,University anti-poverty programmes,Community anti-poverty programmes
Technological University Dublin,49.6,65.8,56.6,77.1
KEDGE Business School (Bordeaux),51.2,9.0,66.7,83.3
Kazan National Research Technical University,15.4,11.3,60.0,27.0
Kanagawa University,16.6,21.0,15.0,22.9
Kagawa University,30.7,92.1,21.7,18.7
Kazan Federal University,44.2,22.2,83.3,62.5
Kansai University,45.8,5.3,21.6,52.1
King Mongkut’s University of Technology Thonburi,65.5,76.8,46.6,100.0
Kardan University,15.4,82.1,56.6,62.5
Kangwon National University,42.9,76.2,53.3,50.0
Khazar University,15.4,79.3,21.6,20.8
Khwaja Fareed University of Engineering and Information Technology,15.4,65.6,48.3,31.2
Japan University of Economics,15.4,25.5,28.3,41.6
Kaohsiung Medical University,52.4,28.4,70.0,33.3
King Edward Medical University,34.5,66.2,31.6,29.2
Karabük University,39.4,8.2,40.0,18.7
Izmir University of Economics,48.3,94.6,20.0,20.8
JSS Academy of Higher Education and Research,15.4,85.5,33.3,58.3
King’s College London,94.9,48.7,80.0,95.8
King Mongkut’s Institute of Technology Ladkrabang,20.5,46.4,66.7,35.4
Khon Kaen University,80.8,43.1,56.6,66.6
Jeonbuk National University,55.3,92.7,70.0,83.3
Karaganda Economic University of Kazpotrebsouz,16.6,33.8,26.7,22.9
KPR Institute of Engineering and Technology,15.4,73.3,35.0,47.9
Kherson State Maritime Academy,15.4,16.9,28.3,10.4
Ivanovo State University of Chemistry and Technology,15.4,65.3,40.0,27.0
Kuban State Technological University,15.4,50.2,83.3,50.0
Kateb University,15.4,97.5,26.6,83.3
King Abdulaziz University,80.0,96.2,33.3,50.0
Keio University,62.5,17.4,60.0,58.3
Kanazawa University,32.8,36.8,36.7,20.8
Kafrelsheikh University,39.1,32.7,43.3,33.3
Kogakuin University,15.4,0.0,0.0,0.0
Kazakh National Pedagogical University Abai,44.0,1.7,50.0,31.2
King Khalid University,73.2,0.0,20.0,62.5
Kalasalingam Academy of Research and Education,16.6,73.2,46.7,47.9
Worldwide: Top,98.1,98.1,100.0,100.0
Worldwide: 75%,60.4,74.2,61.6,62.5
Worldwide: Median,41.7,47.0,43.3,43.7
Worldwide: 25%,20.0,22.5,28.3,29.2
Worldwide: Bottom,15.4,0.0,0.0,0.0
