,Score
Technological University Dublin,61.9
Jeonbuk National University,75.220
Kogakuin University,4.140
Kangwon National University,55.944
Kazan National Research Technical University,27.213
KEDGE Business School (Bordeaux),50.740
Izmir University of Economics,47.974
Keio University,48.790
King’s College London,79.225
Karaganda Economic University of Kazpotrebsouz,25.021
Kazakh National Pedagogical University Abai,31.018
Kalasalingam Academy of Research and Education,46.018
KPR Institute of Engineering and Technology,43.011
Kateb University,55.777
Kherson State Maritime Academy,17.616
Kaohsiung Medical University,45.560
Kanazawa University,32.037
Kardan University,53.707
Khon Kaen University,61.829
Karabük University,26.388
Ivanovo State University of Chemistry and Technology,37.210
King Mongkut’s Institute of Technology Ladkrabang,41.538
Kafrelsheikh University,37.018
JSS Academy of Higher Education and Research,48.304
Kuban State Technological University,48.364
King Edward Medical University,41.186
Kazan Federal University,51.460
Khazar University,35.335
Kansai University,30.744
Khwaja Fareed University of Engineering and Information Technology,40.166
Kagawa University,42.443
King Khalid University,38.733
Japan University of Economics,27.121
King Mongkut’s University of Technology Thonburi,72.167
King Abdulaziz University,66.762
Kanagawa University,18.882
Worldwide: Top,90.1
Worldwide: 75%,56.9
Worldwide: Median,46.0
Worldwide: 25%,33.0
Worldwide: Bottom,4.1
