,Papers co-authored with low or lower-middle income countries,No poverty: FWCI,No poverty: publications,Students receiving financial aid,Bottom financial quintile admission target,Bottom financial quintile student success,Low-income student support,Bottom financial quintile student support,Low or lower-middle income countries
student support,Local start-up assistance,Local start-up financial assistance,Programmes for services access,Policy addressing poverty
Technological University Dublin,30.5,80.1,32.6,65.8,83.3,0.0,83.3,83.3,33.3,100.0,100.0,33.3,75.0
Lakehead University,45.0,71.0,60.7,88.3,83.3,50.0,100.0,83.3,83.3,83.3,83.3,100.0,83.3
Kyoto University,99.0,91.8,99.4,79.7,33.3,33.3,75.0,100.0,100.0,83.3,33.3,33.3,83.3
Londrina State University,62.8,52.0,35.0,93.6,83.3,33.3,100.0,100.0,83.3,83.3,33.3,100.0,83.3
Miguel Hernández University of Elche,30.5,88.8,32.6,82.8,33.3,33.3,100.0,100.0,33.3,100.0,100.0,100.0,83.3
Lingnan University Hong Kong,84.0,78.6,83.4,70.7,0.0,0.0,100.0,100.0,83.3,100.0,33.3,100.0,33.3
Metropolitan Autonomous University,45.0,50.4,60.7,73.5,0.0,100.0,75.0,100.0,100.0,100.0,0.0,100.0,100.0
Massey University,81.1,90.2,96.9,33.2,100.0,100.0,33.3,33.3,100.0,100.0,33.3,100.0,83.3
Mahidol University,96.5,65.8,94.3,41.7,33.3,33.3,83.3,100.0,100.0,100.0,83.3,100.0,33.3
Monterrey Institute of Technology,34.1,54.1,82.8,78.1,33.3,33.3,33.3,100.0,33.3,33.3,100.0,100.0,100.0
Kyungpook National University,51.8,67.7,47.6,73.6,66.7,33.3,33.3,66.7,33.3,100.0,66.7,100.0,83.3
Middle East Technical University,66.7,52.0,82.1,82.2,33.3,33.3,33.3,100.0,33.3,100.0,33.3,33.3,33.3
Kuwait University,30.5,49.9,16.4,98.1,0.0,33.3,100.0,33.3,33.3,66.7,50.0,83.3,58.3
Kyung Hee University,34.8,60.3,77.8,57.8,66.7,33.3,33.3,100.0,33.3,66.7,66.7,33.3,16.7
London South Bank University,30.5,72.3,43.7,9.5,100.0,100.0,100.0,83.3,100.0,100.0,33.3,100.0,33.3
Mie University,100.0,29.2,3.5,82.8,0.0,0.0,100.0,83.3,100.0,100.0,100.0,33.3,25.0
Modern University for Business and Science,30.5,20.1,3.5,95.9,33.3,83.3,8.3,33.3,33.3,83.3,33.3,83.3,100.0
Lviv Polytechnic National University,30.5,99.9,16.4,55.5,33.3,33.3,33.3,33.3,33.3,100.0,0.0,33.3,83.3
Maejo University,30.5,20.1,0.0,74.6,33.3,33.3,33.3,100.0,100.0,33.3,33.3,100.0,58.3
Management & Science University (MSU),100.0,90.5,16.4,35.3,33.3,33.3,58.3,50.0,100.0,100.0,33.3,33.3,8.3
Middle East University,30.5,20.1,0.0,98.1,33.3,50.0,33.3,33.3,33.3,33.3,33.3,8.3,58.3
Mizoram University,30.5,34.9,10.2,92.8,33.3,33.3,33.3,33.3,33.3,66.7,33.3,33.3,8.3
La Salle University,30.5,20.1,10.2,53.3,33.3,33.3,100.0,33.3,0.0,33.3,33.3,100.0,25.0
Lincoln University College,100.0,20.1,10.2,75.0,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,16.7
Lobachevsky State University of Nizhni Novgorod,30.5,63.9,25.0,57.5,83.3,83.3,8.3,33.3,33.3,58.3,33.3,8.3,8.3
Mahasarakham University,82.2,42.0,22.2,56.9,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,0.0
Mansoura University,30.5,81.2,10.2,28.1,33.3,33.3,83.3,83.3,83.3,33.3,33.3,33.3,75.0
Moscow Institute of Physics and Technology (MIPT),30.5,20.1,3.5,92.9,0.0,33.3,100.0,33.3,33.3,33.3,33.3,33.3,16.7
Moscow State University of Food Production,30.5,20.1,0.0,85.6,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,16.7
Kursk State Medical University,30.5,20.1,3.5,28.0,0.0,0.0,0.0,100.0,0.0,33.3,0.0,0.0,0.0
Loei Rajabhat University,30.5,20.1,0.0,5.6,33.3,33.3,8.3,100.0,33.3,100.0,0.0,33.3,0.0
Macau University of Science and Technology,30.5,20.1,0.0,0.2,0.0,0.0,8.3,0.0,0.0,0.0,0.0,33.3,0.0
Manhattanville College,30.5,59.8,13.4,64.7,0.0,0.0,8.3,33.3,0.0,33.3,0.0,8.3,0.0
Menoufia University,30.5,75.8,6.9,33.8,0.0,0.0,33.3,0.0,0.0,0.0,0.0,33.3,0.0
Minia University,30.5,34.4,6.9,45.5,33.3,33.3,25.0,33.3,33.3,33.3,33.3,83.3,25.0
Misr International University,30.5,20.1,0.0,13.0,33.3,33.3,66.7,33.3,33.3,33.3,83.3,50.0,58.3
Worldwide: Top,90.7,100.0,100.0,98.1,100.0,66.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Worldwide: 75%,54.6,74.5,60.7,74.2,66.7,33.3,100.0,100.0,83.3,100.0,66.7,83.3,66.7
Worldwide: Median,30.5,51.1,19.4,47.0,33.3,33.3,54.1,33.3,33.3,58.3,33.3,33.3,25.0
Worldwide: 25%,30.5,21.6,3.5,22.5,33.3,0.0,33.3,33.3,33.3,33.3,0.0,33.3,8.3
Worldwide: Bottom,30.5,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
