,Research on poverty,Proportion of students receiving financial aid to attend university because of poverty,University anti-poverty programmes,Community anti-poverty programmes
Technological University Dublin,49.6,65.8,56.6,77.1
Mansoura University,41.8,28.1,63.3,43.7
Mie University,38.0,82.8,56.7,64.6
Moscow State University of Food Production,15.4,85.6,33.3,29.2
Lincoln University College,37.1,75.0,33.3,29.2
Moscow Institute of Physics and Technology (MIPT),16.6,92.9,40.0,29.2
Mahasarakham University,45.1,56.9,33.3,25.0
La Salle University,19.1,53.3,40.0,47.9
Lakehead University,60.4,88.3,80.0,87.5
Mahidol University,84.3,41.7,70.0,79.2
Macau University of Science and Technology,15.4,0.2,1.7,8.3
Londrina State University,48.5,93.6,80.0,75.0
Massey University,90.3,33.2,73.3,79.2
Lingnan University Hong Kong,81.8,70.7,56.7,66.6
Management & Science University (MSU),65.5,35.3,55.0,43.7
Maejo University,15.4,74.6,60.0,56.2
Kyung Hee University,60.2,57.8,53.3,45.8
Lobachevsky State University of Nizhni Novgorod,40.8,57.5,48.3,27.0
Modern University for Business and Science,16.6,95.9,38.3,75.0
Kuwait University,32.5,98.1,40.0,64.6
Kyoto University,96.5,79.7,68.3,58.3
Kyungpook National University,56.1,73.6,46.7,87.5
Loei Rajabhat University,15.4,5.6,41.6,33.3
Kursk State Medical University,16.6,28.0,20.0,8.3
Middle East Technical University,67.0,82.2,46.6,50.0
Mizoram University,24.6,92.8,33.3,35.4
Monterrey Institute of Technology,59.5,78.1,46.6,83.3
Minia University,23.2,45.5,31.6,43.7
Menoufia University,38.5,33.8,6.7,8.3
Metropolitan Autonomous University,52.8,73.5,75.0,75.0
Middle East University,15.4,98.1,36.6,33.3
Misr International University,15.4,13.0,40.0,56.2
Lviv Polytechnic National University,51.0,55.5,33.3,54.2
Miguel Hernández University of Elche,52.9,82.8,60.0,95.8
London South Bank University,50.9,9.5,96.7,66.6
Manhattanville College,35.0,64.7,8.3,10.4
Worldwide: Top,98.1,98.1,100.0,100.0
Worldwide: 75%,60.4,74.2,61.6,62.5
Worldwide: Median,41.7,47.0,43.3,43.7
Worldwide: 25%,20.0,22.5,28.3,29.2
Worldwide: Bottom,15.4,0.0,0.0,0.0
