,Score
Technological University Dublin,61.9
Maejo University,51.023
La Salle University,39.766
Mahidol University,68.329
Miguel Hernández University of Elche,72.481
Kuwait University,59.301
Lingnan University Hong Kong,69.515
Moscow State University of Food Production,41.630
Mizoram University,47.511
Metropolitan Autonomous University,68.603
Loei Rajabhat University,22.902
Mahasarakham University,40.948
Middle East Technical University,62.517
Menoufia University,22.977
Manhattanville College,31.226
Lincoln University College,44.651
Macau University of Science and Technology,6.488
Minia University,35.890
Kursk State Medical University,18.557
Moscow Institute of Physics and Technology (MIPT),45.483
Kyung Hee University,54.677
Kyungpook National University,65.892
Management & Science University (MSU),49.937
Lobachevsky State University of Nizhni Novgorod,43.877
Middle East University,46.727
Mansoura University,43.495
Misr International University,29.788
Modern University for Business and Science,56.456
Lakehead University,78.686
Kyoto University,76.716
Mie University,60.506
Lviv Polytechnic National University,48.872
Monterrey Institute of Technology,67.052
Londrina State University,74.007
Massey University,68.431
London South Bank University,53.870
Worldwide: Top,90.1
Worldwide: 75%,56.9
Worldwide: Median,46.0
Worldwide: 25%,33.0
Worldwide: Bottom,4.1
