,Papers co-authored with low or lower-middle income countries,No poverty: FWCI,No poverty: publications,Students receiving financial aid,Bottom financial quintile admission target,Bottom financial quintile student success,Low-income student support,Bottom financial quintile student support,Low or lower-middle income countries
student support,Local start-up assistance,Local start-up financial assistance,Programmes for services access,Policy addressing poverty
Technological University Dublin,30.5,80.1,32.6,65.8,83.3,0.0,83.3,83.3,33.3,100.0,100.0,33.3,75.0
National Autonomous University of Mexico,48.4,53.0,99.3,71.5,83.3,100.0,33.3,100.0,33.3,100.0,100.0,100.0,91.7
Northumbria University,84.1,95.0,92.7,0.0,100.0,100.0,100.0,33.3,33.3,100.0,100.0,100.0,66.7
National Taipei University of Technology,30.5,61.8,10.2,72.0,83.3,33.3,100.0,100.0,83.3,100.0,50.0,33.3,50.0
National Tsing Hua University,49.6,57.7,30.1,51.5,83.3,33.3,75.0,100.0,33.3,100.0,33.3,83.3,66.7
New Jersey Institute of Technology,30.5,62.9,19.4,72.7,33.3,33.3,100.0,83.3,33.3,83.3,100.0,83.3,58.3
North-Caucasus Federal University,30.5,39.9,16.4,44.7,50.0,83.3,75.0,100.0,100.0,100.0,33.3,100.0,75.0
Moulay Ismail University,30.5,33.4,13.4,85.5,33.3,33.3,33.3,100.0,100.0,33.3,33.3,33.3,25.0
Nanjing Normal University,30.5,66.8,57.7,37.3,100.0,33.3,83.3,100.0,33.3,33.3,33.3,100.0,16.7
Naresuan University,99.5,34.9,37.3,66.7,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,25.0
National Cheng Kung University (NCKU),58.9,78.2,70.5,7.4,83.3,33.3,100.0,100.0,33.3,83.3,33.3,83.3,33.3
National Institute of Technology Rourkela,87.7,75.8,27.6,66.7,33.3,33.3,33.3,33.3,83.3,33.3,33.3,33.3,33.3
National Kaohsiung University of Science and Technology,46.2,76.2,35.0,31.9,83.3,0.0,100.0,100.0,33.3,33.3,83.3,83.3,0.0
National Pingtung University of Science and Technology,30.5,99.9,19.4,28.0,33.3,50.0,100.0,100.0,83.3,33.3,33.3,33.3,33.3
National Taiwan University (NTU),46.2,75.8,99.2,15.7,33.3,33.3,100.0,100.0,33.3,58.3,33.3,33.3,83.3
National Institute of Technology Silchar,30.5,38.9,22.2,93.8,33.3,33.3,8.3,33.3,50.0,33.3,50.0,50.0,0.0
North-Eastern Federal University,30.5,44.6,3.5,92.7,33.3,33.3,8.3,33.3,33.3,33.3,33.3,33.3,33.3
National Changhua University of Education,30.5,98.6,10.2,3.1,83.3,83.3,100.0,33.3,33.3,83.3,83.3,50.0,25.0
National Chin-Yi University of Technology,30.5,20.1,0.0,18.1,33.3,33.3,100.0,100.0,100.0,66.7,83.3,33.3,25.0
National Dong Hwa University,99.9,54.1,13.4,16.5,33.3,33.3,75.0,100.0,83.3,83.3,33.3,33.3,25.0
National Institute of Industrial Engineering,30.5,74.5,22.2,38.3,33.3,33.3,41.7,66.7,66.7,33.3,33.3,33.3,25.0
National Research Nuclear University MEPhI,30.5,20.1,6.9,88.8,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
National Taiwan University of Science and Technology (Taiwan Tech),30.5,35.4,16.4,38.3,33.3,33.3,100.0,100.0,33.3,83.3,0.0,33.3,0.0
MSA University,30.5,20.1,3.5,0.8,0.0,33.3,0.0,33.3,0.0,33.3,33.3,33.3,58.3
Nanhua University,30.5,43.5,3.5,15.3,33.3,33.3,58.3,33.3,33.3,33.3,0.0,33.3,16.7
Narxoz University,30.5,20.1,0.0,40.7,50.0,0.0,25.0,33.3,33.3,33.3,33.3,33.3,25.0
National Agrarian University La Molina,30.5,33.9,6.9,2.8,33.3,33.3,33.3,33.3,33.3,33.3,33.3,0.0,25.0
National Chiayi University,30.5,57.7,3.5,42.1,0.0,0.0,0.0,100.0,0.0,33.3,83.3,0.0,16.7
National Chung Cheng University,30.5,94.2,41.6,14.0,33.3,33.3,83.3,33.3,33.3,33.3,33.3,33.3,33.3
National University of Quilmes,30.5,24.8,16.4,0.0,33.3,0.0,100.0,83.3,33.3,100.0,0.0,33.3,25.0
National University of Sciences and Technology,30.5,52.0,45.7,11.8,33.3,33.3,83.3,100.0,33.3,33.3,33.3,33.3,25.0
National Sun Yat-Sen University,30.5,65.3,56.2,14.0,33.3,33.3,8.3,33.3,33.3,33.3,83.3,33.3,25.0
NED University of Engineering and Technology,30.5,63.4,3.5,38.6,33.3,0.0,8.3,33.3,33.3,83.3,33.3,33.3,16.7
Ninevah University,30.5,20.1,0.0,27.4,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,16.7
Northern Technical University,30.5,20.1,0.0,9.9,33.3,33.3,8.3,33.3,33.3,8.3,0.0,8.3,8.3
National University of Uzbekistan named after Mirzo Ulugbek,30.5,20.1,0.0,3.4,33.3,33.3,33.3,33.3,33.3,33.3,100.0,33.3,8.3
Worldwide: Top,90.7,100.0,100.0,98.1,100.0,66.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Worldwide: 75%,54.6,74.5,60.7,74.2,66.7,33.3,100.0,100.0,83.3,100.0,66.7,83.3,66.7
Worldwide: Median,30.5,51.1,19.4,47.0,33.3,33.3,54.1,33.3,33.3,58.3,33.3,33.3,25.0
Worldwide: 25%,30.5,21.6,3.5,22.5,33.3,0.0,33.3,33.3,33.3,33.3,0.0,33.3,8.3
Worldwide: Bottom,30.5,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
