,Research on poverty,Proportion of students receiving financial aid to attend university because of poverty,University anti-poverty programmes,Community anti-poverty programmes
Technological University Dublin,49.6,65.8,56.6,77.1
National Chin-Yi University of Technology,15.4,18.1,73.3,52.1
National Dong Hwa University,50.9,16.5,65.0,43.7
Nanjing Normal University,54.0,37.3,70.0,45.8
National Chung Cheng University,58.2,14.0,43.3,33.3
National Tsing Hua University,45.4,51.5,65.0,70.8
National Agrarian University La Molina,23.0,2.8,33.3,22.9
National University of Quilmes,23.2,0.0,50.0,39.6
Naresuan University,52.5,66.7,33.3,31.2
National Pingtung University of Science and Technology,52.1,28.0,73.3,33.3
National Institute of Technology Rourkela,61.0,66.7,43.3,33.3
North-Caucasus Federal University,28.8,44.7,81.7,77.1
National Chiayi University,30.6,42.1,20.0,33.3
New Jersey Institute of Technology,38.4,72.7,56.6,81.2
National Taiwan University of Science and Technology (Taiwan Tech),27.1,38.3,60.0,29.2
National Research Nuclear University MEPhI,17.9,88.8,33.3,33.3
Narxoz University,15.4,40.7,28.3,31.2
National Sun Yat-Sen University,52.9,14.0,28.3,43.7
National Changhua University of Education,48.2,3.1,66.6,60.4
National Institute of Industrial Engineering,43.7,38.3,48.3,31.2
North-Eastern Federal University,25.7,92.7,28.3,33.3
National Autonomous University of Mexico,69.0,71.5,70.0,97.9
National Taiwan University (NTU),76.8,15.7,60.0,52.0
Ninevah University,15.4,27.4,33.3,29.2
National Cheng Kung University (NCKU),70.3,7.4,70.0,58.3
National Institute of Technology Silchar,30.5,93.8,31.6,33.3
MSA University,16.6,0.8,13.3,39.6
National Kaohsiung University of Science and Technology,53.2,31.9,63.3,50.0
Nanhua University,25.3,15.3,38.3,20.8
Northern Technical University,15.4,9.9,28.3,6.2
Northumbria University,91.3,0.0,73.3,91.7
National University of Uzbekistan named after Mirzo Ulugbek,15.4,3.4,33.3,43.7
National Taipei University of Technology,34.6,72.0,80.0,58.3
NED University of Engineering and Technology,32.7,38.6,21.6,41.6
National University of Sciences and Technology,44.1,11.8,56.6,31.2
Moulay Ismail University,25.2,85.5,60.0,31.2
Worldwide: Top,98.1,98.1,100.0,100.0
Worldwide: 75%,60.4,74.2,61.6,62.5
Worldwide: Median,41.7,47.0,43.3,43.7
Worldwide: 25%,20.0,22.5,28.3,29.2
Worldwide: Bottom,15.4,0.0,0.0,0.0
