,Score
Technological University Dublin,61.9
Nanjing Normal University,51.298
National University of Quilmes,26.862
National Cheng Kung University (NCKU),50.514
National Changhua University of Education,43.076
National Taipei University of Technology,60.589
National Kaohsiung University of Science and Technology,49.019
Moulay Ismail University,50.880
National Chin-Yi University of Technology,37.885
NED University of Engineering and Technology,33.821
Nanhua University,24.576
National Institute of Technology Rourkela,52.112
Ninevah University,25.919
Northern Technical University,14.768
National Research Nuclear University MEPhI,44.146
National Taiwan University (NTU),50.754
MSA University,16.891
National Chiayi University,31.898
National Chung Cheng University,37.118
New Jersey Institute of Technology,61.695
National University of Sciences and Technology,35.309
National Pingtung University of Science and Technology,46.158
National Autonomous University of Mexico,76.555
National Sun Yat-Sen University,34.641
Northumbria University,62.603
National Dong Hwa University,43.212
National Agrarian University La Molina,19.922
Narxoz University,28.837
North-Eastern Federal University,46.163
National Taiwan University of Science and Technology (Taiwan Tech),38.153
National Tsing Hua University,57.415
National University of Uzbekistan named after Mirzo Ulugbek,22.783
National Institute of Technology Silchar,48.507
North-Caucasus Federal University,56.348
National Institute of Industrial Engineering,40.439
Naresuan University,47.058
Worldwide: Top,90.1
Worldwide: 75%,56.9
Worldwide: Median,46.0
Worldwide: 25%,33.0
Worldwide: Bottom,4.1
