,Research on poverty,Proportion of students receiving financial aid to attend university because of poverty,University anti-poverty programmes,Community anti-poverty programmes
Technological University Dublin,49.6,65.8,56.6,77.1
Quaid-i-Azam University,60.3,53.9,28.3,8.3
Ondokuz Mayis University,18.5,38.6,33.3,20.8
Pontifical Catholic University of Valparaíso,45.1,96.5,46.7,64.6
Perm National Research Polytechnic University,43.4,86.5,43.3,22.9
Princess Nourah bint Abdulrahman University,25.2,62.6,96.7,95.8
Pontifical Catholic University of Chile,76.6,72.5,56.6,70.8
Rovira i Virgili University,56.1,79.0,26.7,58.3
Padjadjaran University,56.5,43.9,53.3,52.0
Ritsumeikan Asia Pacific University (APU),41.5,52.5,56.7,29.2
Polytechnic University of Valencia,64.6,29.5,40.0,54.2
Pontifical Catholic University of Minas Gerais,29.4,87.4,56.6,70.8
PMAS Arid Agriculture University Rawalpindi,69.6,44.4,33.3,22.9
Novosibirsk State Technical University,18.2,88.7,80.0,45.8
Privolzhsky Research Medical University,15.4,55.7,13.3,0.0
Polytechnic University of Bucharest,29.2,25.2,15.0,16.6
Perm State University,23.8,39.2,16.7,33.3
Ozyegin University,43.9,42.1,43.3,68.7
Rawalpindi Medical University,15.4,25.3,46.6,47.9
Pondicherry University,34.9,49.9,50.0,54.2
Paris Sciences et Lettres – PSL Research University Paris,88.3,56.0,63.3,29.2
Panthéon-Sorbonne University – Paris 1,62.7,60.1,33.3,29.2
Pontifical Javeriana University,55.9,19.9,23.3,58.3
Queensland University of Technology,90.7,25.6,73.3,100.0
Oaxaca State University System (SUNEO),15.4,97.9,93.3,77.1
Phenikaa University,23.8,10.7,13.3,29.2
Platov South-Russian State Polytechnic University (NPI),46.2,61.4,46.7,52.1
Ritsumeikan University,29.3,80.0,56.6,41.6
Peter the Great St Petersburg Polytechnic University,49.4,67.1,73.3,58.3
Osaka City University,40.1,26.6,8.3,4.2
Recep Tayyip Erdoğan University,20.5,6.3,30.0,39.6
Queen’s University,90.9,81.7,93.3,95.8
Polytechnic Institute of Setúbal,25.2,47.5,51.6,41.6
Pontifical Catholic University of Peru,79.4,4.0,33.3,56.2
Osaka Prefecture University,23.7,25.6,41.7,27.0
Public University of Navarre,44.1,77.5,51.7,35.4
Worldwide: Top,98.1,98.1,100.0,100.0
Worldwide: 75%,60.4,74.2,61.6,62.5
Worldwide: Median,41.7,47.0,43.3,43.7
Worldwide: 25%,20.0,22.5,28.3,29.2
Worldwide: Bottom,15.4,0.0,0.0,0.0
