,Score
Technological University Dublin,61.9
Phenikaa University,19.084
Pontifical Catholic University of Peru,43.112
Polytechnic University of Bucharest,21.960
Recep Tayyip Erdoğan University,23.235
Ozyegin University,49.008
Quaid-i-Azam University,39.255
Paris Sciences et Lettres – PSL Research University Paris,60.220
Peter the Great St Petersburg Polytechnic University,61.739
Pontifical Catholic University of Valparaíso,63.795
Ritsumeikan University,52.114
Platov South-Russian State Polytechnic University (NPI),51.786
Perm State University,28.512
Ondokuz Mayis University,27.854
PMAS Arid Agriculture University Rawalpindi,43.719
Osaka City University,20.894
Padjadjaran University,51.361
Queen’s University,90.087
Pontifical Javeriana University,39.255
Rovira i Virgili University,56.031
Pontifical Catholic University of Minas Gerais,60.849
Privolzhsky Research Medical University,22.252
Polytechnic University of Valencia,47.063
Panthéon-Sorbonne University – Paris 1,47.526
Perm National Research Polytechnic University,50.303
Ritsumeikan Asia Pacific University (APU),45.131
Osaka Prefecture University,29.110
Novosibirsk State Technical University,57.824
Pondicherry University,46.864
Pontifical Catholic University of Chile,69.602
Oaxaca State University System (SUNEO),69.779
Public University of Navarre,52.836
Rawalpindi Medical University,32.721
Princess Nourah bint Abdulrahman University,67.985
Polytechnic Institute of Setúbal,41.086
Queensland University of Technology,71.264
Worldwide: Top,90.1
Worldwide: 75%,56.9
Worldwide: Median,46.0
Worldwide: 25%,33.0
Worldwide: Bottom,4.1
