,Papers co-authored with low or lower-middle income countries,No poverty: FWCI,No poverty: publications,Students receiving financial aid,Bottom financial quintile admission target,Bottom financial quintile student success,Low-income student support,Bottom financial quintile student support,Low or lower-middle income countries
student support,Local start-up assistance,Local start-up financial assistance,Programmes for services access,Policy addressing poverty
Technological University Dublin,30.5,80.1,32.6,65.8,83.3,0.0,83.3,83.3,33.3,100.0,100.0,33.3,75.0
SOAS University of London,80.0,82.6,95.9,56.0,100.0,100.0,83.3,83.3,83.3,8.3,83.3,33.3,100.0
Simon Fraser University,53.4,89.5,98.6,35.6,0.0,0.0,100.0,100.0,100.0,100.0,100.0,83.3,83.3
Sheffield Hallam University,53.8,92.3,87.5,53.6,33.3,33.3,33.3,100.0,33.3,100.0,33.3,100.0,100.0
Sapienza University of Rome,43.6,75.4,99.4,64.8,33.3,33.3,8.3,33.3,83.3,33.3,33.3,33.3,16.7
Shahid Beheshti University of Medical Sciences,45.8,52.0,73.5,81.6,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
Shanghai University,59.5,71.5,51.2,42.4,100.0,33.3,100.0,33.3,33.3,33.3,33.3,100.0,33.3
Soochow University,30.5,64.8,35.0,82.6,83.3,33.3,33.3,33.3,33.3,100.0,33.3,83.3,33.3
RUDN University,30.5,42.5,49.4,39.6,100.0,33.3,100.0,83.3,33.3,33.3,33.3,33.3,33.3
Saratov State Vavilov Agrarian University,30.5,29.7,3.5,85.6,33.3,83.3,33.3,33.3,33.3,33.3,33.3,33.3,83.3
Shantou University,91.4,74.9,43.7,35.1,33.3,33.3,58.3,33.3,33.3,33.3,33.3,100.0,8.3
Sidi Mohamed Ben Abdellah University,99.6,25.3,25.0,82.8,33.3,0.0,8.3,83.3,33.3,83.3,33.3,8.3,25.0
Soonchunhyang University,30.5,59.3,39.5,61.9,33.3,33.3,8.3,33.3,33.3,100.0,100.0,75.0,16.7
South Ural State University,99.1,40.9,22.2,54.9,0.0,0.0,83.3,100.0,83.3,83.3,0.0,33.3,8.3
Saint Thomas University, Colombia,30.5,37.4,19.4,5.1,83.3,50.0,41.7,100.0,33.3,83.3,33.3,100.0,66.7
Sathyabama Institute of Science and Technology,30.5,55.7,6.9,14.6,100.0,50.0,66.7,100.0,50.0,100.0,33.3,100.0,41.7
Sergo Ordzhonikidze Russian State University for Geological Prospecting (MGRI),30.5,20.1,0.0,86.7,33.3,0.0,100.0,33.3,33.3,33.3,0.0,8.3,25.0
Shinshu University,99.4,100.0,30.1,7.1,33.3,33.3,75.0,100.0,33.3,100.0,33.3,33.3,25.0
Southern Federal University,30.5,77.4,16.4,82.9,33.3,0.0,33.3,33.3,33.3,33.3,0.0,33.3,8.3
South Valley University,30.5,80.8,3.5,45.8,33.3,33.3,100.0,33.3,50.0,33.3,33.3,33.3,33.3
Sri Padmavati Mahila Visvavidyalayam (Women's University),30.5,20.1,0.0,96.7,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,16.7
Suez Canal University,30.5,72.8,6.9,38.0,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,75.0
Russian State Social University,30.5,38.9,25.0,20.8,33.3,0.0,8.3,33.3,33.3,33.3,0.0,33.3,25.0
Ryazan State Medical University,30.5,20.1,3.5,27.3,33.3,33.3,33.3,33.3,0.0,33.3,33.3,33.3,33.3
Sakarya University,30.5,27.9,19.4,13.0,33.3,33.3,100.0,50.0,33.3,33.3,66.7,50.0,33.3
Salahaddin University,30.5,20.1,0.0,46.7,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
Samara National Research University (Samara University),30.5,38.4,6.9,27.7,33.3,0.0,33.3,33.3,33.3,33.3,33.3,33.3,25.0
Samarkand State University,30.5,20.1,0.0,7.9,0.0,0.0,33.3,0.0,0.0,33.3,83.3,8.3,16.7
Saratov State Medical University,30.5,20.1,0.0,24.3,0.0,0.0,66.7,66.7,0.0,33.3,0.0,0.0,16.7
Sinai University,30.5,20.1,0.0,65.2,33.3,83.3,8.3,33.3,33.3,8.3,0.0,33.3,0.0
Sir Syed University of Engineering and Technology,30.5,20.1,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soka University,30.5,43.0,22.2,51.6,0.0,0.0,8.3,0.0,33.3,0.0,0.0,0.0,0.0
Srinakharinwirot University,30.5,25.7,6.9,41.8,0.0,0.0,8.3,0.0,0.0,100.0,100.0,83.3,25.0
Sri Sri University,30.5,20.1,0.0,18.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
St Petersburg Electrotechnical University (LETI),30.5,71.9,3.5,20.7,0.0,0.0,33.3,83.3,33.3,33.3,33.3,8.3,0.0
St Petersburg V. M. Bekhterev Psychoneurological Research Institute,30.5,20.1,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Worldwide: Top,90.7,100.0,100.0,98.1,100.0,66.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Worldwide: 75%,54.6,74.5,60.7,74.2,66.7,33.3,100.0,100.0,83.3,100.0,66.7,83.3,66.7
Worldwide: Median,30.5,51.1,19.4,47.0,33.3,33.3,54.1,33.3,33.3,58.3,33.3,33.3,25.0
Worldwide: 25%,30.5,21.6,3.5,22.5,33.3,0.0,33.3,33.3,33.3,33.3,0.0,33.3,8.3
Worldwide: Bottom,30.5,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
