,Research on poverty,Proportion of students receiving financial aid to attend university because of poverty,University anti-poverty programmes,Community anti-poverty programmes
Technological University Dublin,49.6,65.8,56.6,77.1
Simon Fraser University,83.5,35.6,60.0,91.6
Sapienza University of Rome,76.0,64.8,38.3,29.2
Soochow University,44.9,82.6,43.3,62.5
Shantou University,67.6,35.1,38.3,43.7
Sathyabama Institute of Science and Technology,31.1,14.6,73.3,68.8
Saint Thomas University, Colombia,28.9,5.1,61.7,70.8
Sakarya University,25.4,13.0,50.0,45.8
Srinakharinwirot University,20.0,41.8,1.7,77.1
Soonchunhyang University,44.5,61.9,28.3,72.9
Soka University,32.1,51.6,8.3,0.0
Shahid Beheshti University of Medical Sciences,58.4,81.6,33.3,33.3
Sinai University,15.4,65.2,38.3,10.4
Sri Padmavati Mahila Visvavidyalayam (Women's University),15.4,96.7,33.3,29.2
South Valley University,39.1,45.8,50.0,33.3
South Ural State University,49.1,54.9,53.3,31.2
Shanghai University,60.9,42.4,60.0,50.0
Southern Federal University,42.6,82.9,26.6,18.7
Samara National Research University (Samara University),24.7,27.7,26.6,31.2
Sidi Mohamed Ben Abdellah University,44.5,82.8,31.6,37.5
SOAS University of London,86.9,56.0,90.0,56.2
Suez Canal University,37.4,38.0,33.3,43.7
St Petersburg V. M. Bekhterev Psychoneurological Research Institute,15.4,78.0,0.0,0.0
Saratov State Vavilov Agrarian University,20.2,85.6,43.3,45.8
Sergo Ordzhonikidze Russian State University for Geological Prospecting (MGRI),15.4,86.7,40.0,16.6
Sri Sri University,15.4,18.0,10.0,0.0
Sheffield Hallam University,80.5,53.6,46.6,83.3
Sir Syed University of Engineering and Technology,15.4,1.3,0.0,0.0
St Petersburg Electrotechnical University (LETI),35.8,20.7,30.0,18.7
Saratov State Medical University,15.4,24.3,26.7,12.5
RUDN University,41.9,39.6,70.0,33.3
Samarkand State University,15.4,7.9,6.7,35.4
Ryazan State Medical University,16.6,27.3,26.6,33.3
Russian State Social University,31.6,20.8,21.6,22.9
Salahaddin University,15.4,46.7,33.3,33.3
Shinshu University,74.0,7.1,55.0,47.9
Worldwide: Top,98.1,98.1,100.0,100.0
Worldwide: 75%,60.4,74.2,61.6,62.5
Worldwide: Median,41.7,47.0,43.3,43.7
Worldwide: 25%,20.0,22.5,28.3,29.2
Worldwide: Bottom,15.4,0.0,0.0,0.0
