,Score
Technological University Dublin,61.9
Salahaddin University,32.087
South Ural State University,47.538
Soonchunhyang University,52.023
Sergo Ordzhonikidze Russian State University for Geological Prospecting (MGRI),40.571
RUDN University,45.793
Suez Canal University,38.081
SOAS University of London,72.205
Sri Padmavati Mahila Visvavidyalayam (Women's University),44.633
Simon Fraser University,67.035
Shinshu University,45.561
Southern Federal University,44.332
Sapienza University of Rome,53.559
Shantou University,46.615
Srinakharinwirot University,34.787
Saratov State Medical University,19.706
Saratov State Vavilov Agrarian University,49.082
Soochow University,58.756
Sir Syed University of Engineering and Technology,4.502
Samarkand State University,15.950
Shahid Beheshti University of Medical Sciences,53.122
Samara National Research University (Samara University),27.474
Russian State Social University,24.385
Soka University,24.507
Sheffield Hallam University,66.132
South Valley University,42.104
Sathyabama Institute of Science and Technology,45.015
Sri Sri University,11.306
St Petersburg Electrotechnical University (LETI),26.471
Saint Thomas University, Colombia,39.658
Shanghai University,53.171
Sinai University,32.957
Sakarya University,32.420
Sidi Mohamed Ben Abdellah University,50.253
Ryazan State Medical University,25.668
St Petersburg V. M. Bekhterev Psychoneurological Research Institute,25.189
Worldwide: Top,90.1
Worldwide: 75%,56.9
Worldwide: Median,46.0
Worldwide: 25%,33.0
Worldwide: Bottom,4.1
