,Papers co-authored with low or lower-middle income countries,No poverty: FWCI,No poverty: publications,Students receiving financial aid,Bottom financial quintile admission target,Bottom financial quintile student success,Low-income student support,Bottom financial quintile student support,Low or lower-middle income countries
student support,Local start-up assistance,Local start-up financial assistance,Programmes for services access,Policy addressing poverty
Technological University Dublin,30.5,80.1,32.6,65.8,83.3,0.0,83.3,83.3,33.3,100.0,100.0,33.3,75.0
Texas State University,30.5,74.1,67.1,74.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.7
Tongji University,72.6,86.1,85.6,57.9,83.3,33.3,75.0,83.3,83.3,83.3,83.3,33.3,33.3
The University of Tennessee-Knoxville,30.5,63.9,93.0,50.0,0.0,0.0,75.0,100.0,33.3,100.0,100.0,100.0,100.0
Sungkyunkwan University (SKKU),30.5,57.7,82.8,83.7,33.3,33.3,8.3,33.3,33.3,83.3,100.0,33.3,25.0
Suranaree University of Technology,30.5,99.9,13.4,94.1,33.3,33.3,33.3,33.3,33.3,66.7,0.0,66.7,41.7
Technical University of Loja,30.5,34.9,37.3,40.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,16.7
Tomsk State University of Control Systems and Radioelectronics,30.5,20.1,10.2,93.1,33.3,33.3,75.0,100.0,100.0,83.3,83.3,33.3,16.7
Towson University,30.5,49.9,59.2,64.8,0.0,0.0,100.0,0.0,83.3,100.0,100.0,100.0,91.7
Transilvania University of Brașov,30.5,35.4,16.4,53.3,100.0,0.0,100.0,100.0,100.0,83.3,0.0,83.3,91.7
The Islamia University of Bahawalpur,30.5,100.0,27.6,72.3,33.3,33.3,33.3,50.0,33.3,33.3,33.3,8.3,25.0
Tokyo University of Science,30.5,37.9,30.1,65.8,33.3,33.3,8.3,100.0,33.3,100.0,33.3,33.3,33.3
Toyo University,30.5,84.6,10.2,61.6,33.3,33.3,33.3,33.3,33.3,83.3,33.3,8.3,100.0
Suratthani Rajabhat University,30.5,20.1,0.0,65.6,33.3,33.3,25.0,50.0,66.7,83.3,33.3,33.3,8.3
Tarlac Agricultural University,30.5,20.1,0.0,98.1,66.7,33.3,8.3,66.7,33.3,0.0,0.0,33.3,0.0
Tata Institute of Social Sciences (TISS),46.2,47.2,88.4,53.5,33.3,33.3,33.3,33.3,0.0,33.3,33.3,33.3,33.3
Technological University of Pereira,91.4,24.8,25.0,75.5,33.3,66.7,33.3,33.3,33.3,33.3,0.0,0.0,8.3
TED University,30.5,39.9,16.4,23.2,100.0,83.3,100.0,100.0,33.3,83.3,0.0,33.3,8.3
The ICFAI University, Jharkhand,30.5,20.1,0.0,34.2,0.0,0.0,8.3,33.3,33.3,33.3,0.0,33.3,0.0
The Islamic University,30.5,20.1,0.0,66.3,33.3,33.3,8.3,50.0,0.0,33.3,0.0,33.3,8.3
The University of Kitakyushu,30.5,27.4,3.5,25.6,0.0,0.0,0.0,0.0,33.3,33.3,0.0,58.3,8.3
Tafila Technical University,30.5,20.1,3.5,38.5,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,16.7
Tashkent Institute of Irrigation and Agricultural Mechanisation,30.5,20.1,0.0,7.0,0.0,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0
Tashkent State Agrarian University,30.5,20.1,0.0,19.4,0.0,33.3,0.0,83.3,0.0,33.3,0.0,8.3,25.0
Technical University of Košice,39.7,56.7,51.2,24.2,0.0,0.0,8.3,33.3,33.3,33.3,33.3,33.3,33.3
Thapar University,30.5,42.0,13.4,4.4,33.3,33.3,8.3,100.0,33.3,100.0,33.3,58.3,58.3
Tilburg University,40.7,89.8,99.5,2.0,33.3,33.3,8.3,33.3,33.3,33.3,33.3,33.3,33.3
TOBB University of Economics and Technology,30.5,39.9,19.4,8.9,33.3,33.3,33.3,33.3,33.3,83.3,33.3,33.3,0.0
Tohoku Gakuin University,30.5,20.1,6.9,89.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tokai University,30.5,20.1,3.5,0.4,33.3,33.3,75.0,0.0,0.0,0.0,0.0,33.3,33.3
Tokyo City University,30.5,48.8,13.4,0.0,0.0,0.0,41.7,0.0,33.3,33.3,0.0,33.3,8.3
Torcuato Di Tella University,30.5,57.7,30.1,60.2,33.3,33.3,33.3,33.3,0.0,0.0,0.0,0.0,0.0
Tottori University,30.5,27.4,6.9,83.3,0.0,0.0,8.3,33.3,0.0,33.3,33.3,0.0,0.0
Turan University,30.5,20.1,0.0,9.0,33.3,33.3,50.0,33.3,33.3,33.3,66.7,33.3,75.0
Tver State University,30.5,20.1,0.0,29.4,0.0,0.0,58.3,0.0,33.3,33.3,0.0,33.3,0.0
The Women University Multan,30.5,20.1,0.0,29.4,33.3,33.3,8.3,33.3,33.3,33.3,33.3,33.3,8.3
Worldwide: Top,90.7,100.0,100.0,98.1,100.0,66.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Worldwide: 75%,54.6,74.5,60.7,74.2,66.7,33.3,100.0,100.0,83.3,100.0,66.7,83.3,66.7
Worldwide: Median,30.5,51.1,19.4,47.0,33.3,33.3,54.1,33.3,33.3,58.3,33.3,33.3,25.0
Worldwide: 25%,30.5,21.6,3.5,22.5,33.3,0.0,33.3,33.3,33.3,33.3,0.0,33.3,8.3
Worldwide: Bottom,30.5,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
