,Research on poverty,Proportion of students receiving financial aid to attend university because of poverty,University anti-poverty programmes,Community anti-poverty programmes
Technological University Dublin,49.6,65.8,56.6,77.1
Tzu Chi University,40.6,39.0,93.3,56.2
Universidade Federal do Ceará (UFC),65.6,39.5,70.0,64.6
Universidad Católica del Cibao (UCATECI),15.4,14.1,0.0,43.7
Universidad Popular Autónoma del Estado de Puebla,48.7,88.3,26.6,66.6
Universidad San Ignacio de Loyola,51.4,93.6,36.6,31.2
Universidade Federal do Maranhão (UFMA),20.9,48.5,66.7,31.2
Universidad Andrés Bello (UNAB),26.1,95.1,46.6,58.3
Universidade Federal de Juiz de Fora,37.0,34.0,63.3,43.8
United International University,38.5,85.6,43.3,45.8
Ufa State Petroleum Technological University,44.3,59.3,58.3,29.2
Universidade Federal do ABC (UFABC),44.1,40.8,76.6,58.3
Universidade Estadual do Oeste do Paraná (Unioeste),20.3,0.0,61.6,58.3
Universidade Federal do Paraná (UFPR),68.6,39.3,86.7,81.2
Universidade Estadual Paulista (Unesp),56.7,43.3,56.6,54.2
Universidad Mayor,48.1,41.5,26.7,16.6
Universidade Federal de Santa Catarina,62.7,45.2,100.0,0.0
Unisinos University,31.0,60.5,53.3,47.9
Universidad Autónoma del Estado de Mexico (UAEMex),34.0,87.3,33.3,45.8
Universidade Federal de Ouro Preto (UFOP),63.3,59.2,100.0,33.3
Universidad Autónoma del Estado de Hidalgo,25.4,39.2,76.6,100.0
Universidad Nacional del Litoral,23.0,7.7,76.6,93.8
Universidad Católica San Antonio de Murcia (UCAM),39.6,0.0,0.0,41.6
Universidad Nacional de Río Negro,23.0,43.1,60.0,37.5
Universidad Tecnológica de Santiago (UTESA),15.4,29.4,38.3,25.0
Universidad Nacional de Itapúa,15.4,51.2,100.0,93.8
Universidade Federal de São Paulo (UNIFESP),52.6,31.4,68.3,41.6
Universidad Nacional de Villarrica del Espíritu Santo,15.4,4.4,0.0,25.0
Universidade Estadual de Maringá,38.1,7.7,63.3,77.1
Ubon Ratchathani University,44.4,79.6,56.7,97.9
Universidad Católica de Cuenca,25.8,41.2,46.6,47.9
Tzu Chi University of Science and Technology,15.4,79.2,60.0,31.2
Udon Thani Rajabhat University,15.4,54.1,35.0,37.5
Universidad Politécnica Salesiana,37.4,71.1,40.0,29.2
Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),16.6,19.0,70.0,33.3
Universidade Federal de Sergipe,52.9,59.9,51.7,4.2
Worldwide: Top,98.1,98.1,100.0,100.0
Worldwide: 75%,60.4,74.2,61.6,62.5
Worldwide: Median,41.7,47.0,43.3,43.7
Worldwide: 25%,20.0,22.5,28.3,29.2
Worldwide: Bottom,15.4,0.0,0.0,0.0
