,Score
Technological University Dublin,61.9
Universidad Tecnológica de Santiago (UTESA),26.651
Universidade Federal do Ceará (UFC),59.341
Universidad Politécnica Salesiana,45.204
Universidade Estadual Paulista (Unesp),52.487
Universidad Popular Autónoma del Estado de Puebla,58.469
Udon Thani Rajabhat University,35.428
Universidade Estadual do Oeste do Paraná (Unioeste),33.071
Universidad Católica del Cibao (UCATECI),18.020
Universidade Federal de Santa Catarina,52.128
Universidade Federal de Ouro Preto (UFOP),63.753
Ubon Ratchathani University,69.025
Tzu Chi University,55.890
Universidade Estadual de Maringá,44.658
Universidade Federal do Maranhão (UFMA),41.241
Universidad Autónoma del Estado de Hidalgo,58.069
Universidade Federal de São Paulo (UNIFESP),48.006
Universidade Federal de Sergipe,43.300
Universidad Nacional de Río Negro,40.283
Tzu Chi University of Science and Technology,46.510
Universidad Católica San Antonio de Murcia (UCAM),20.292
Universidade Federal do ABC (UFABC),53.988
Universidad Nacional del Litoral,47.482
Universidad Nacional de Itapúa,62.516
Ufa State Petroleum Technological University,48.096
Universidad Mayor,34.169
Universidad Católica de Cuenca,39.861
Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),33.395
Universidade Federal do Paraná (UFPR),67.745
Universidade Federal de Juiz de Fora,43.795
Universidad Andrés Bello (UNAB),56.861
Universidad Nacional de Villarrica del Espíritu Santo,11.091
United International University,54.010
Universidad San Ignacio de Loyola,54.763
Unisinos University,47.997
Universidad Autónoma del Estado de Mexico (UAEMex),50.952
Worldwide: Top,90.1
Worldwide: 75%,56.9
Worldwide: Median,46.0
Worldwide: 25%,33.0
Worldwide: Bottom,4.1
