,Score
Technological University Dublin,61.9
Université Catholique de Louvain,49.745
University of Algarve,58.653
Universiti Kebangsaan Malaysia,39.954
Universitas Sebelas Maret,66.548
University of Alberta,52.180
Universiti Malaysia Terengganu (UMT),49.049
Universiti Sains Malaysia,78.785
Universitas Gadjah Mada,81.322
Université Saint-Joseph de Beyrouth,61.232
Universiti Malaysia Sarawak (UNIMAS),56.789
University of Alkafeel,22.268
Universidade Nove de Julho (Uninove),56.399
Université Hassan II de Casablanca,44.352
Universitat Politècnica de Catalunya,60.339
University of Agriculture, Faisalabad,62.029
University College Cork,74.631
University of Alicante,35.345
University of Azuay,68.264
Universitas Muhammadiyah Yogyakarta,35.454
University of Aberdeen,59.066
University at Buffalo,65.716
Universiti Malaysia Kelantan,43.930
Universiti Tunku Abdul Rahman (UTAR),44.110
University of Béjaïa,47.451
University of Beira Interior,49.975
Universidade Tecnológica Federal do Paraná (UTFPR),45.738
University of Anbar,50.959
Université 8 Mai 1945 Guelma,40.718
University of A Coruña,39.316
University of Auckland,72.620
University of Bahrain,52.692
Universidade Federal Rural do Semi-Arido,54.395
University of Babylon,20.634
Universiti Teknologi MARA,70.169
University of Aveiro,72.675
Worldwide: Top,90.1
Worldwide: 75%,56.9
Worldwide: Median,46.0
Worldwide: 25%,33.0
Worldwide: Bottom,4.1
