,Papers co-authored with low or lower-middle income countries,No poverty: FWCI,No poverty: publications,Students receiving financial aid,Bottom financial quintile admission target,Bottom financial quintile student success,Low-income student support,Bottom financial quintile student support,Low or lower-middle income countries
student support,Local start-up assistance,Local start-up financial assistance,Programmes for services access,Policy addressing poverty
Technological University Dublin,30.5,80.1,32.6,65.8,83.3,0.0,83.3,83.3,33.3,100.0,100.0,33.3,75.0
University of Johannesburg,63.5,65.8,100.0,96.6,100.0,100.0,83.3,83.3,100.0,100.0,100.0,83.3,33.3
University of Exeter,82.2,99.0,98.6,45.0,100.0,83.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0
University of Indonesia,36.3,45.6,96.6,92.8,100.0,33.3,100.0,33.3,33.3,100.0,100.0,83.3,91.7
University of Bologna,32.1,56.2,98.4,91.5,33.3,83.3,83.3,33.3,100.0,100.0,100.0,100.0,33.3
University of Edinburgh,91.2,91.8,100.0,32.1,100.0,50.0,83.3,100.0,100.0,83.3,83.3,100.0,100.0
University of Cape Town,92.9,81.5,100.0,76.1,33.3,0.0,33.3,100.0,33.3,100.0,100.0,33.3,100.0
University of Coimbra,30.5,64.8,85.1,58.3,33.3,33.3,100.0,100.0,83.3,100.0,100.0,100.0,33.3
University of Brawijaya,30.5,46.7,68.3,55.4,33.3,33.3,8.3,100.0,100.0,100.0,33.3,33.3,91.7
University of Cyberjaya,30.5,20.1,0.0,65.8,100.0,83.3,100.0,83.3,33.3,33.3,33.3,100.0,58.3
University of Ghana,84.7,77.8,100.0,5.2,83.3,0.0,83.3,83.3,83.3,83.3,50.0,83.3,83.3
University of Canberra,75.4,67.3,92.2,5.4,83.3,100.0,83.3,83.3,33.3,33.3,0.0,33.3,91.7
University of Celaya,30.5,20.1,0.0,95.4,33.3,33.3,0.0,50.0,33.3,100.0,0.0,66.7,16.7
University of Desarrollo,64.5,60.3,45.7,46.3,33.3,33.3,33.3,100.0,33.3,100.0,100.0,33.3,8.3
University of Dundee,30.5,78.6,74.4,16.0,83.3,33.3,0.0,100.0,33.3,100.0,100.0,83.3,16.7
University of Faisalabad,30.5,20.1,0.0,83.3,33.3,33.3,100.0,33.3,100.0,33.3,33.3,33.3,33.3
University of Foggia,84.0,78.6,30.1,92.6,33.3,33.3,8.3,33.3,33.3,0.0,0.0,0.0,0.0
University of Girona,30.5,74.5,72.5,74.6,33.3,0.0,8.3,33.3,33.3,33.3,0.0,100.0,8.3
University of International Business and Economics,56.2,60.8,65.9,33.2,50.0,33.3,100.0,33.3,33.3,8.3,33.3,100.0,8.3
University of Jaén,30.5,43.0,63.4,6.8,33.3,83.3,100.0,100.0,100.0,100.0,83.3,83.3,33.3
University of Bucharest,30.5,63.4,62.0,24.1,33.3,33.3,33.3,83.3,33.3,33.3,83.3,33.3,16.7
University of Colombo,48.6,60.3,52.9,57.4,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,25.0
University of la Costa,30.5,98.4,6.9,73.2,0.0,0.0,0.0,0.0,0.0,100.0,33.3,0.0,0.0
University of Geneva,85.7,75.8,95.9,27.4,0.0,0.0,100.0,0.0,0.0,33.3,0.0,33.3,83.3
University of Information Technology and Communications,30.5,20.1,0.0,98.1,33.3,0.0,33.3,33.3,33.3,33.3,0.0,33.3,8.3
University of Kufa,30.5,20.1,3.5,95.5,33.3,33.3,8.3,33.3,33.3,33.3,33.3,33.3,8.3
University of Bergen,90.2,89.3,99.8,0.0,33.3,0.0,0.0,0.0,0.0,33.3,33.3,0.0,8.3
University of Brescia,68.8,72.3,65.9,28.8,0.0,0.0,33.3,0.0,33.3,0.0,0.0,0.0,16.7
University of Carthage,47.2,51.4,70.5,0.1,0.0,0.0,33.3,0.0,33.3,83.3,0.0,0.0,0.0
University of Diyala,30.5,20.1,0.0,0.0,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,8.3
University of Economics in Bratislava,46.2,33.9,57.7,12.6,0.0,0.0,8.3,33.3,0.0,0.0,0.0,0.0,8.3
University of Education, Lahore,30.5,20.1,0.0,35.7,33.3,33.3,8.3,33.3,33.3,50.0,33.3,25.0,8.3
University of Franca,30.5,20.1,0.0,6.8,0.0,0.0,0.0,0.0,0.0,33.3,0.0,83.3,58.3
University of Iceland,75.2,67.7,77.8,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.3,33.3,0.0
University of Jyväskylä,40.7,58.3,86.1,0.0,0.0,0.0,8.3,0.0,0.0,33.3,0.0,33.3,0.0
University of Kurdistan,30.5,99.9,10.2,6.1,33.3,33.3,100.0,100.0,33.3,33.3,33.3,33.3,25.0
Worldwide: Top,90.7,100.0,100.0,98.1,100.0,66.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Worldwide: 75%,54.6,74.5,60.7,74.2,66.7,33.3,100.0,100.0,83.3,100.0,66.7,83.3,66.7
Worldwide: Median,30.5,51.1,19.4,47.0,33.3,33.3,54.1,33.3,33.3,58.3,33.3,33.3,25.0
Worldwide: 25%,30.5,21.6,3.5,22.5,33.3,0.0,33.3,33.3,33.3,33.3,0.0,33.3,8.3
Worldwide: Bottom,30.5,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
