,Papers co-authored with low or lower-middle income countries,No poverty: FWCI,No poverty: publications,Students receiving financial aid,Bottom financial quintile admission target,Bottom financial quintile student success,Low-income student support,Bottom financial quintile student support,Low or lower-middle income countries
student support,Local start-up assistance,Local start-up financial assistance,Programmes for services access,Policy addressing poverty
Technological University Dublin,30.5,80.1,32.6,65.8,83.3,0.0,83.3,83.3,33.3,100.0,100.0,33.3,75.0
University of Leeds,88.3,94.4,100.0,62.2,100.0,33.3,100.0,100.0,100.0,100.0,83.3,100.0,100.0
University of Manchester,72.8,93.3,100.0,48.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.3,100.0
University of North Carolina at Chapel Hill,82.1,92.9,100.0,38.4,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0
University of Malaga,30.5,71.5,76.2,85.4,83.3,83.3,83.3,83.3,83.3,33.3,83.3,83.3,58.3
University of Liverpool,73.6,91.1,99.4,64.2,100.0,33.3,75.0,100.0,33.3,83.3,33.3,33.3,100.0
University of Minho,34.6,62.4,79.4,68.3,83.3,33.3,58.3,33.3,83.3,100.0,100.0,100.0,100.0
University of Miami,68.1,87.2,97.8,31.5,83.3,100.0,75.0,100.0,33.3,100.0,100.0,100.0,66.7
University of Maryland, Baltimore County,72.6,74.1,62.0,66.6,0.0,33.3,100.0,83.3,83.3,83.3,83.3,58.3,83.3
University of León,90.6,53.6,32.6,74.2,0.0,0.0,83.3,100.0,33.3,100.0,83.3,83.3,75.0
University of Malaya,92.8,81.9,99.8,48.8,33.3,33.3,58.3,33.3,33.3,100.0,83.3,33.3,41.7
University of Montevideo,30.5,37.9,3.5,85.5,33.3,33.3,33.3,33.3,33.3,100.0,83.3,83.3,33.3
University of Nantes,82.2,58.3,52.9,73.1,33.3,83.3,83.3,33.3,33.3,33.3,33.3,83.3,16.7
University of Navarra,30.5,77.8,57.7,37.6,0.0,0.0,83.3,100.0,100.0,100.0,100.0,100.0,100.0
University of New Brunswick UNB,72.6,49.9,47.6,86.0,0.0,0.0,33.3,83.3,33.3,33.3,100.0,33.3,8.3
University of Otago,89.3,82.2,99.3,13.8,33.3,33.3,33.3,33.3,100.0,100.0,33.3,83.3,100.0
University of Pécs,30.5,59.8,37.3,30.4,83.3,33.3,100.0,83.3,33.3,100.0,33.3,100.0,100.0
University of Reading,99.6,95.6,99.6,43.6,66.7,33.3,0.0,100.0,33.3,100.0,83.3,33.3,8.3
University of Management and Technology,74.8,64.3,45.7,47.9,33.3,33.3,66.7,33.3,66.7,33.3,33.3,33.3,25.0
University of Mohamed Boudiaf at M’Sila,30.5,20.1,3.5,98.1,33.3,33.3,83.3,33.3,33.3,33.3,33.3,33.3,33.3
University of Petra,30.5,98.1,6.9,80.4,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
University of Saint Joseph,30.5,53.6,3.5,27.2,100.0,33.3,100.0,100.0,100.0,100.0,83.3,83.3,33.3
University of Salamanca,30.5,58.3,63.4,78.6,0.0,0.0,8.3,83.3,83.3,33.3,50.0,33.3,33.3
University of La Laguna,30.5,54.1,45.7,0.0,83.3,33.3,58.3,0.0,83.3,100.0,83.3,83.3,0.0
University of Liberal Arts Bangladesh,30.5,40.9,3.5,18.7,66.7,66.7,41.7,66.7,50.0,100.0,33.3,100.0,75.0
University of Malakand,30.5,45.6,16.4,34.2,33.3,33.3,100.0,83.3,33.3,33.3,33.3,33.3,33.3
University of Mohaghegh Ardabili,30.5,20.1,0.0,26.3,83.3,33.3,66.7,50.0,100.0,50.0,83.3,83.3,50.0
University of Murcia,30.5,53.6,85.6,11.5,0.0,0.0,83.3,83.3,0.0,33.3,33.3,100.0,100.0
University of Lampung,30.5,20.1,13.4,13.3,33.3,33.3,83.3,83.3,33.3,33.3,33.3,83.3,25.0
University of Lucerne,51.8,93.3,47.6,0.0,33.3,0.0,100.0,33.3,33.3,8.3,0.0,33.3,0.0
University of Maribor,30.5,44.6,22.2,0.0,0.0,0.0,58.3,33.3,0.0,100.0,0.0,0.0,25.0
University of Monastir,30.5,43.0,6.9,0.0,33.3,33.3,33.3,33.3,33.3,33.3,0.0,33.3,8.3
University of Moratuwa,30.5,71.5,19.4,52.3,0.0,0.0,8.3,0.0,33.3,0.0,33.3,8.3,25.0
University of Mosul,30.5,20.1,0.0,3.9,33.3,33.3,33.3,33.3,33.3,33.3,0.0,33.3,25.0
University of Pavia,39.9,66.3,75.3,11.7,33.3,33.3,83.3,33.3,33.3,33.3,33.3,33.3,33.3
University of Pittsburgh-Bradford,30.5,20.1,0.0,82.3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Worldwide: Top,90.7,100.0,100.0,98.1,100.0,66.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Worldwide: 75%,54.6,74.5,60.7,74.2,66.7,33.3,100.0,100.0,83.3,100.0,66.7,83.3,66.7
Worldwide: Median,30.5,51.1,19.4,47.0,33.3,33.3,54.1,33.3,33.3,58.3,33.3,33.3,25.0
Worldwide: 25%,30.5,21.6,3.5,22.5,33.3,0.0,33.3,33.3,33.3,33.3,0.0,33.3,8.3
Worldwide: Bottom,30.5,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
