,Research on poverty,Proportion of students receiving financial aid to attend university because of poverty,University anti-poverty programmes,Community anti-poverty programmes
Technological University Dublin,49.6,65.8,56.6,77.1
University of Lucerne,65.6,0.0,40.0,10.4
University of Otago,90.4,13.8,46.6,79.2
University of Nantes,62.5,73.1,53.3,41.6
University of North Carolina at Chapel Hill,92.7,38.4,80.0,100.0
University of Malaya,91.4,48.8,38.3,64.6
University of Malaga,62.6,85.4,83.3,64.6
University of Management and Technology,60.1,47.9,46.7,31.2
University of Lampung,20.3,13.3,53.3,43.7
University of Minho,61.5,68.3,58.3,100.0
University of Maribor,32.6,0.0,18.3,31.2
University of La Laguna,44.9,0.0,51.6,66.6
University of Malakand,30.9,34.2,56.6,33.3
University of Mohaghegh Ardabili,15.4,26.3,66.7,66.6
University of Mosul,15.4,3.9,33.3,22.9
University of New Brunswick UNB,54.9,86.0,30.0,43.7
University of Pittsburgh-Bradford,15.4,82.3,20.0,0.0
University of Reading,98.1,43.6,46.7,56.2
University of Navarra,58.1,37.6,56.7,100.0
University of Manchester,90.5,48.8,100.0,95.8
University of Liverpool,89.6,64.2,68.3,62.5
University of Murcia,59.5,11.5,33.3,66.6
University of Montevideo,23.2,85.5,33.3,75.0
University of Leeds,94.9,62.2,86.7,95.8
University of Miami,86.2,31.5,78.3,91.7
University of Saint Joseph,29.1,27.2,86.7,75.0
University of Moratuwa,41.6,52.3,8.3,16.6
University of Liberal Arts Bangladesh,24.4,18.7,58.4,77.1
University of Maryland, Baltimore County,69.2,66.6,60.0,77.0
University of Salamanca,53.0,78.6,35.0,37.5
University of Pécs,43.9,30.4,66.6,83.3
University of Monastir,26.4,0.0,33.3,18.7
University of Petra,46.8,80.4,33.3,33.3
University of Pavia,62.8,11.7,43.3,33.3
University of Mohamed Boudiaf at M’Sila,16.6,98.1,43.3,33.3
University of León,55.4,74.2,43.3,85.4
Worldwide: Top,98.1,98.1,100.0,100.0
Worldwide: 75%,60.4,74.2,61.6,62.5
Worldwide: Median,41.7,47.0,43.3,43.7
Worldwide: 25%,20.0,22.5,28.3,29.2
Worldwide: Bottom,15.4,0.0,0.0,0.0
