,Papers co-authored with low or lower-middle income countries,No poverty: FWCI,No poverty: publications,Students receiving financial aid,Bottom financial quintile admission target,Bottom financial quintile student success,Low-income student support,Bottom financial quintile student support,Low or lower-middle income countries
student support,Local start-up assistance,Local start-up financial assistance,Programmes for services access,Policy addressing poverty
Technological University Dublin,30.5,80.1,32.6,65.8,83.3,0.0,83.3,83.3,33.3,100.0,100.0,33.3,75.0
University of South Florida (Tampa),68.5,74.9,96.8,75.0,100.0,83.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0
University of São Paulo,56.8,99.2,100.0,66.6,100.0,33.3,100.0,100.0,100.0,83.3,100.0,100.0,100.0
University of Sussex,87.1,96.2,100.0,47.1,100.0,100.0,83.3,83.3,100.0,100.0,100.0,100.0,100.0
University of Tasmania,94.6,86.7,97.4,47.2,100.0,0.0,100.0,100.0,100.0,83.3,83.3,100.0,83.3
University of Strathclyde,87.5,69.6,99.4,15.4,100.0,100.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0
University of Southern Denmark,47.2,71.9,96.2,95.7,33.3,33.3,33.3,33.3,33.3,100.0,33.3,58.3,83.3
University of Sydney,76.9,87.5,100.0,14.8,83.3,83.3,83.3,83.3,83.3,100.0,100.0,83.3,83.3
University of Surrey,67.2,93.8,81.5,24.3,100.0,83.3,100.0,100.0,100.0,100.0,33.3,83.3,75.0
University of Talca,79.6,44.1,41.6,93.9,33.3,33.3,33.3,33.3,100.0,33.3,100.0,33.3,83.3
University of Tsukuba,90.4,85.8,87.5,74.1,33.3,0.0,100.0,100.0,33.3,8.3,100.0,33.3,8.3
University of the Ryukyus,97.7,84.2,13.4,82.2,0.0,0.0,75.0,0.0,100.0,83.3,33.3,33.3,8.3
University of Santiago, Chile (USACH),30.5,43.0,47.6,90.3,33.3,33.3,83.3,33.3,33.3,100.0,33.3,8.3,16.7
University of Texas at Dallas,41.9,90.0,69.4,78.0,0.0,0.0,0.0,100.0,0.0,100.0,33.3,100.0,16.7
University of Valparaíso,30.5,29.7,22.2,90.5,33.3,33.3,83.3,33.3,33.3,100.0,33.3,33.3,75.0
University of the Western Cape,90.7,83.9,99.4,84.3,0.0,0.0,33.3,33.3,0.0,100.0,0.0,8.3,83.3
University of the Aegean,55.6,65.3,56.2,32.6,33.3,33.3,100.0,33.3,50.0,100.0,33.3,33.3,75.0
University of Sri Jayewardenepura,30.5,56.7,27.6,94.3,33.3,33.3,66.7,33.3,0.0,33.3,33.3,33.3,33.3
University of Szeged,30.5,50.9,27.6,73.2,33.3,33.3,100.0,33.3,33.3,33.3,33.3,100.0,33.3
University of Thessaly,58.1,79.0,39.5,57.4,33.3,0.0,33.3,33.3,33.3,100.0,0.0,33.3,100.0
University of Toyama,30.5,100.0,3.5,60.8,0.0,0.0,75.0,100.0,33.3,75.0,0.0,33.3,75.0
University of Trás-os-Montes and Alto Douro,30.5,46.2,27.6,74.8,33.3,33.3,33.3,33.3,33.3,83.3,33.3,100.0,33.3
University of Valencia,51.6,81.9,99.0,72.1,0.0,0.0,33.3,33.3,33.3,100.0,0.0,0.0,0.0
University of Valladolid,30.5,60.3,72.5,67.0,0.0,0.0,75.0,100.0,100.0,0.0,0.0,0.0,0.0
University of Veterinary and Animal Sciences, Lahore,30.5,57.7,16.4,43.3,33.3,33.3,33.3,33.3,33.3,100.0,83.3,33.3,75.0
University of San Martín de Porres,30.5,36.4,22.2,10.0,83.3,83.3,33.3,100.0,33.3,100.0,33.3,100.0,8.3
University of Santo Tomas,30.5,66.3,3.5,24.3,33.3,33.3,33.3,83.3,33.3,100.0,33.3,100.0,25.0
University of Sharjah,99.4,99.7,51.2,19.3,33.3,33.3,33.3,83.3,33.3,8.3,0.0,33.3,33.3
University of Sousse,72.6,43.5,47.6,76.1,33.3,0.0,33.3,0.0,33.3,33.3,0.0,0.0,0.0
University of South China,30.5,20.1,3.5,59.0,33.3,33.3,66.7,50.0,33.3,33.3,33.3,66.7,25.0
University of Sumatera Utara,30.5,49.3,30.1,47.0,33.3,33.3,8.3,33.3,33.3,100.0,33.3,33.3,83.3
University of Samarra,30.5,20.1,0.0,36.9,33.3,33.3,33.3,0.0,0.0,33.3,0.0,0.0,0.0
University of Seville,30.5,63.4,91.0,0.0,0.0,0.0,33.3,0.0,100.0,0.0,0.0,0.0,0.0
University of Sistan and Baluchestan,30.5,46.7,6.9,11.1,33.3,33.3,66.7,100.0,33.3,33.3,33.3,8.3,33.3
University of Tabriz,30.5,22.4,13.4,5.4,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
University of Tehran,66.3,60.8,91.9,12.7,0.0,33.3,33.3,33.3,33.3,33.3,33.3,33.3,25.0
Worldwide: Top,90.7,100.0,100.0,98.1,100.0,66.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Worldwide: 75%,54.6,74.5,60.7,74.2,66.7,33.3,100.0,100.0,83.3,100.0,66.7,83.3,66.7
Worldwide: Median,30.5,51.1,19.4,47.0,33.3,33.3,54.1,33.3,33.3,58.3,33.3,33.3,25.0
Worldwide: 25%,30.5,21.6,3.5,22.5,33.3,0.0,33.3,33.3,33.3,33.3,0.0,33.3,8.3
Worldwide: Bottom,30.5,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
