,Research on poverty,Proportion of students receiving financial aid to attend university because of poverty,University anti-poverty programmes,Community anti-poverty programmes
Technological University Dublin,49.6,65.8,56.6,77.1
University of Southern Denmark,74.5,95.7,33.3,68.7
University of Veterinary and Animal Sciences, Lahore,35.4,43.3,33.3,72.9
University of Tsukuba,87.6,74.1,53.3,37.5
University of Valencia,80.4,72.1,20.0,25.0
University of the Ryukyus,61.5,82.2,35.0,39.6
University of Sussex,95.2,47.1,93.3,100.0
University of San Martín de Porres,29.6,10.0,66.6,60.4
University of South China,16.6,59.0,43.3,39.6
University of São Paulo,88.5,66.6,86.7,95.8
University of the Western Cape,91.4,84.3,13.3,47.9
University of Seville,65.1,0.0,26.7,0.0
University of Toyama,46.2,60.8,41.7,45.8
University of Tasmania,92.7,47.2,80.0,87.5
University of Texas at Dallas,69.9,78.0,20.0,62.5
University of Talca,52.4,93.9,46.6,62.5
University of Santiago, Chile (USACH),41.5,90.3,43.3,39.6
University of Santo Tomas,33.8,24.3,43.3,64.6
University of Sydney,89.4,14.8,83.3,91.6
University of Sharjah,81.7,19.3,43.3,18.7
University of Tabriz,21.2,5.4,33.3,33.3
University of Valparaíso,27.1,90.5,43.3,60.4
University of Sumatera Utara,37.3,47.0,28.3,62.5
University of South Florida (Tampa),81.4,75.0,96.7,100.0
University of Strathclyde,85.3,15.4,95.0,100.0
University of Szeged,37.0,73.2,46.6,50.0
University of Thessaly,59.0,57.4,26.6,58.3
University of Sousse,52.6,76.1,20.0,8.3
University of Sri Jayewardenepura,39.1,94.3,33.3,33.3
University of Tehran,73.7,12.7,26.6,31.2
University of the Aegean,59.4,32.6,50.0,60.4
University of Surrey,82.3,24.3,96.7,72.9
University of Trás-os-Montes and Alto Douro,35.2,74.8,33.3,62.5
University of Valladolid,57.1,67.0,55.0,0.0
University of Samarra,15.4,36.9,20.0,8.3
University of Sistan and Baluchestan,27.8,11.1,53.3,27.0
Worldwide: Top,98.1,98.1,100.0,100.0
Worldwide: 75%,60.4,74.2,61.6,62.5
Worldwide: Median,41.7,47.0,43.3,43.7
Worldwide: 25%,20.0,22.5,28.3,29.2
Worldwide: Bottom,15.4,0.0,0.0,0.0
