,Research on poverty,Proportion of students receiving financial aid to attend university because of poverty,University anti-poverty programmes,Community anti-poverty programmes
Technological University Dublin,49.6,65.8,56.6,77.1
University of Waterloo,93.4,64.8,66.6,83.3
Utsunomiya University,15.4,78.0,21.7,41.6
UNSW Sydney,88.3,1.3,51.7,47.9
University of Vigo,56.6,34.8,46.6,41.6
Zarqa University,16.6,17.9,43.3,37.5
World University of Bangladesh (WUB),15.4,68.2,46.6,47.9
Voronezh State University,16.6,68.5,28.3,29.2
York University,80.9,60.4,63.3,100.0
University of Wollongong,87.5,51.3,93.3,100.0
V.N. Karazin Kharkiv National University,21.6,0.1,41.6,33.3
University Rey Juan Carlos,52.1,4.2,0.0,25.0
Voronezh State Technical University,15.4,81.2,43.3,8.3
USAMV Cluj-Napoca,48.5,72.6,73.3,58.3
Western University,84.3,94.6,63.3,91.6
Ziauddin University,16.6,68.8,15.0,18.7
Waseda University,74.2,59.9,66.7,27.0
Warsaw University of Technology,35.4,0.0,20.0,27.1
Zagazig University,28.4,12.6,40.0,27.1
Yamaguchi University,21.8,65.7,55.0,37.5
University of Worcester,45.2,86.0,56.6,77.1
Uruk University,15.4,30.6,26.6,0.0
Vrije Universiteit Amsterdam,91.1,0.0,6.7,39.6
Zanjan University of Medical Sciences,33.6,12.6,28.3,31.2
Urgench State University,15.4,1.6,23.3,0.0
Yenepoya University,24.8,36.3,63.3,35.4
Zewail City of Science and Technology,15.4,97.9,53.3,45.8
Yeditepe University,31.5,74.1,33.3,20.8
Yokohama City University,69.0,18.7,21.6,16.6
Western Sydney University,92.0,2.0,70.0,95.8
Western Caspian University,15.4,38.2,53.3,41.6
Worldwide: Top,98.1,98.1,100.0,100.0
Worldwide: 75%,60.4,74.2,61.6,62.5
Worldwide: Median,41.7,47.0,43.3,43.7
Worldwide: 25%,20.0,22.5,28.3,29.2
Worldwide: Bottom,15.4,0.0,0.0,0.0
