,Score
Technological University Dublin,61.9
University of Waterloo,77.215
University of Vigo,44.988
Voronezh State Technical University,37.947
Yeditepe University,40.979
Yenepoya University,39.188
Zarqa University,27.923
Zagazig University,26.504
Waseda University,57.770
V.N. Karazin Kharkiv National University,23.112
Utsunomiya University,39.765
Voronezh State University,36.209
Urgench State University,9.951
University of Worcester,66.200
Western Sydney University,63.526
Zanjan University of Medical Sciences,26.193
USAMV Cluj-Napoca,62.993
World University of Bangladesh (WUB),44.300
Vrije Universiteit Amsterdam,35.235
Ziauddin University,30.841
Warsaw University of Technology,20.378
Yamaguchi University,44.899
Zewail City of Science and Technology,53.392
Western Caspian University,36.297
Uruk University,18.538
Western University,83.941
York University,75.708
UNSW Sydney,47.113
University of Wollongong,81.927
University Rey Juan Carlos,20.939
Yokohama City University,32.502
Worldwide: Top,90.1
Worldwide: 75%,56.9
Worldwide: Median,46.0
Worldwide: 25%,33.0
Worldwide: Bottom,4.1
