-------------------------------------------------------------------
  Nuclide     Energy   Intensity  Decay   Half-life   Effective    
 26-Fe- 67      20.        --     IT      75      US          N/A  
 51-Sb-128  <   20.0       --     IT      10.4     M          N/A  
 76-Os-180      20.1      17.3    EC      21.5     M     9.30E-05  
 77-Ir-174      20.2       0.07   Alpha   5.01     S     9.68E-05  
 64-Gd-155      21.04      0.04   IT      31.97   MS     8.67E-03  
 62-Sm-151      21.54      0.03   B-      90       Y     7.32E-14  
 52-Te-117      21.6       --     IT      103     MS          N/A  
 57-La-136      21.8       2.16   IT      114     MS     1.31E-01  
 72-Hf-171      21.93      --     IT      29.5     S          N/A  
 27-Co- 62      22.        --     IT      13.91    M          N/A  
 53-I -132      22.        --     IT      1.387    H          N/A  
 63-Eu-149      22.51      2.32   EC      93.1     D     2.00E-09  
 65-Tb-151      22.92      3.14   IT      25       S     8.71E-04  
 70-Yb-157      23.39     22.66   EC      38.6     S     4.07E-03  
 32-Ge- 71      23.44      0.48   IT      20.41   MS     1.63E-01  
 49-In-119      23.87     15.18   B-      2.4      M     7.31E-04  
 51-Sb-119      23.87     16.5    EC      38.19    H     8.32E-07  
 50-Sn-119      23.88     16.5    IT      293      D     4.52E-09  
 72-Hf-172      23.93     20.34   EC      1.87     Y     2.39E-09  
 56-Ba-127      24.2   ~   0.1    IT      1.9      S  ~  3.65E-04  
 70-Yb-169      24.20    4.E-04   IT      46       S          N/A  
 41-Nb- 83      24.30      --     EC      4.1      S          N/A  
 33-As- 75      24.38      0.39   IT      17.62   MS     1.53E-01  
 89-Ac-227      24.5       0.03   B-      21.772   Y     3.03E-13  
 27-Co- 58      24.89      0.04   IT      9.10     H     8.46E-09  
 57-La-127      25.0       3.     B+      3.7      M     9.37E-05  
 54-Xe-120      25.1      29.04   EC      40       M     8.39E-05  
 47-Ag-105      25.48      --     IT      7.23     M          N/A  
 90-Th-231      25.64     14.12   B-      25.52    H     1.07E-06  
 93-Np-235      25.64    4.E-04   Alpha   396.2    D          N/A  
 65-Tb-161      25.65     23.15   B-      6.906    D     2.69E-07  
 92-U -231      25.65     14.6    EC      4.2      D     2.79E-07  
 67-Ho-161      25.66     27.3    EC      2.48     H     2.12E-05  
 99-Es-257      25.7    *100.     B-      7.7      D   * 1.04E-06  
 34-Se- 73      25.71      0.01   IT      39.8     M     2.90E-08  
 51-Sb-124      25.98    3.E-03   IT      20.2     M          N/A  
 24-Cr- 56      26.       44.6    B-      5.94     M     8.67E-04  
 51-Sb-122      26.09    3.E-03   IT      4.191    M          N/A  
 77-Ir-190      26.1       --     IT      1.120    H          N/A  
 80-Hg-185      26.1       0.02   IT      21.6     S     6.42E-06  
 57-La-131      26.20     36.45   IT      170     US     1.49E+03  
 58-Ce-131      26.20   * 45.     EC      5.4      M   * 9.63E-04  
 80-Hg-201      26.34      1.38   IT      94      US     1.02E+02  
