nucleus,energy,lifetime,lifetime_unit,life_mult,life_sec,Z,A,symbol,latex,natural_lw,combo
2-He-8,980,119.1,MS,0.001,0.1191,2,8,He,$^{8}_{2}He$,5.527e-6,8He
4-Be-7,477.6,53.22,D,86400,4598208,4,7,Be,$^{7}_{4}Be$,1.431e-13,7Be
4-Be-11,2124.47,13.81,S,1,13.81,4,11,Be,$^{11}_{4}Be$,4.766e-8,11Be
5-B-14,1248,12.5,MS,0.001,0.0125,5,14,B,$^{14}_{5}B$,5.266e-5,14B
6-C-10,718.35,19.29,S,1,19.29,6,10,C,$^{10}_{6}C$,3.412e-8,10C
6-C-10,1021.65,19.29,S,1,19.29,6,10,C,$^{10}_{6}C$,3.412e-8,10C
6-C-16,120.42,0.747,S,1,0.747,6,16,C,$^{16}_{6}C$,8.811e-7,16C
6-C-16,276.85,0.747,S,1,0.747,6,16,C,$^{16}_{6}C$,8.811e-7,16C
6-C-16,298.22,0.747,S,1,0.747,6,16,C,$^{16}_{6}C$,8.811e-7,16C
6-C-17,1373.8,193,MS,0.001,0.193,6,17,C,$^{17}_{6}C$,3.41e-6,17C
6-C-17,1849.5,193,MS,0.001,0.193,6,17,C,$^{17}_{6}C$,3.41e-6,17C
6-C-17,1906.7,193,MS,0.001,0.193,6,17,C,$^{17}_{6}C$,3.41e-6,17C
6-C-18,114.9,92,MS,0.001,0.092,6,18,C,$^{18}_{6}C$,7.154e-6,18C
6-C-18,879.7,92,MS,0.001,0.092,6,18,C,$^{18}_{6}C$,7.154e-6,18C
6-C-18,2614.2,92,MS,0.001,0.092,6,18,C,$^{18}_{6}C$,7.154e-6,18C
7-N-16,2741.5,7.13,S,1,7.13,7,16,N,$^{16}_{7}N$,9.232e-8,16N
7-N-17,870.71,4.173,S,1,4.173,7,17,N,$^{17}_{7}N$,1.577e-7,17N
7-N-17,2184.48,4.173,S,1,4.173,7,17,N,$^{17}_{7}N$,1.577e-7,17N
7-N-18,821.71,624,MS,0.001,0.624,7,18,N,$^{18}_{7}N$,1.055e-6,18N
7-N-18,1651.56,624,MS,0.001,0.624,7,18,N,$^{18}_{7}N$,1.055e-6,18N
7-N-18,1981.93,624,MS,0.001,0.624,7,18,N,$^{18}_{7}N$,1.055e-6,18N
7-N-19,96,0.271,S,1,0.271,7,19,N,$^{19}_{7}N$,2.429e-6,19N
7-N-19,709.2,0.271,S,1,0.271,7,19,N,$^{19}_{7}N$,2.429e-6,19N
8-O-14,1635.2,70.606,S,1,70.606,8,14,O,$^{14}_{8}O$,9.322e-9,14O
8-O-14,2312.59,70.606,S,1,70.606,8,14,O,$^{14}_{8}O$,9.322e-9,14O
8-O-19,197.14,26.88,S,1,26.88,8,19,O,$^{19}_{8}O$,2.449e-8,19O
8-O-19,1356.84,26.88,S,1,26.88,8,19,O,$^{19}_{8}O$,2.449e-8,19O
8-O-19,1444.09,26.88,S,1,26.88,8,19,O,$^{19}_{8}O$,2.449e-8,19O
8-O-20,1056.78,13.51,S,1,13.51,8,20,O,$^{20}_{8}O$,4.872e-8,20O
8-O-20,2179.09,13.51,S,1,13.51,8,20,O,$^{20}_{8}O$,4.872e-8,20O
8-O-21,279.92,3.42,S,1,3.42,8,21,O,$^{21}_{8}O$,1.925e-7,21O
8-O-21,1730.28,3.42,S,1,3.42,8,21,O,$^{21}_{8}O$,1.925e-7,21O
8-O-22,71.6,2.25,S,1,2.25,8,22,O,$^{22}_{8}O$,2.925e-7,22O
8-O-22,637.4,2.25,S,1,2.25,8,22,O,$^{22}_{8}O$,2.925e-7,22O
8-O-22,1862.6,2.25,S,1,2.25,8,22,O,$^{22}_{8}O$,2.925e-7,22O
8-O-24,521.5,65,MS,0.001,0.065,8,24,O,$^{24}_{8}O$,1.013e-5,24O
8-O-24,1309.5,65,MS,0.001,0.065,8,24,O,$^{24}_{8}O$,1.013e-5,24O
8-O-24,1831.6,65,MS,0.001,0.065,8,24,O,$^{24}_{8}O$,1.013e-5,24O
9-F-20,1633.6,11.163,S,1,11.163,9,20,F,$^{20}_{9}F$,5.896e-8,20F
9-F-21,350.73,4.158,S,1,4.158,9,21,F,$^{21}_{9}F$,1.583e-7,21F
9-F-21,1395.13,4.158,S,1,4.158,9,21,F,$^{21}_{9}F$,1.583e-7,21F
9-F-21,1745.8,4.158,S,1,4.158,9,21,F,$^{21}_{9}F$,1.583e-7,21F
9-F-22,1274.54,4.23,S,1,4.23,9,22,F,$^{22}_{9}F$,1.556e-7,22F
9-F-22,2082.6,4.23,S,1,4.23,9,22,F,$^{22}_{9}F$,1.556e-7,22F
9-F-22,2166.1,4.23,S,1,4.23,9,22,F,$^{22}_{9}F$,1.556e-7,22F
9-F-23,1701.44,2.23,S,1,2.23,9,23,F,$^{23}_{9}F$,2.952e-7,23F
9-F-23,1822.25,2.23,S,1,2.23,9,23,F,$^{23}_{9}F$,2.952e-7,23F
9-F-23,2128.8,2.23,S,1,2.23,9,23,F,$^{23}_{9}F$,2.952e-7,23F
9-F-24,1981.6,390,MS,0.001,0.39,9,24,F,$^{24}_{9}F$,1.688e-6,24F
9-F-25,1613.4,80,MS,0.001,0.08,9,25,F,$^{25}_{9}F$,8.228e-6,25F
9-F-25,1702.7,80,MS,0.001,0.08,9,25,F,$^{25}_{9}F$,8.228e-6,25F
9-F-25,1981.6,50,MS,0.001,0.05,9,25,F,$^{25}_{9}F$,1.316e-5,25F
9-F-25,2090,80,MS,0.001,0.08,9,25,F,$^{25}_{9}F$,8.228e-6,25F
9-F-26,1673,9.7,MS,0.001,0.0097,9,26,F,$^{26}_{9}F$,6.786e-5,26F
9-F-26,2018.2,9.7,MS,0.001,0.0097,9,26,F,$^{26}_{9}F$,6.786e-5,26F
10-Ne-17,495.32,109.2,MS,0.001,0.1092,10,17,Ne,$^{17}_{10}Ne$,6.028e-6,17Ne
10-Ne-18,659.25,1.672,S,1,1.672,10,18,Ne,$^{18}_{10}Ne$,3.937e-7,18Ne
10-Ne-18,1041.52,1.672,S,1,1.672,10,18,Ne,$^{18}_{10}Ne$,3.937e-7,18Ne
10-Ne-18,1700.72,1.672,S,1,1.672,10,18,Ne,$^{18}_{10}Ne$,3.937e-7,18Ne
10-Ne-19,109.89,17.22,S,1,17.22,10,19,Ne,$^{19}_{10}Ne$,3.822e-8,19Ne
10-Ne-19,197.14,17.22,S,1,17.22,10,19,Ne,$^{19}_{10}Ne$,3.822e-8,19Ne
10-Ne-19,1356.84,17.22,S,1,17.22,10,19,Ne,$^{19}_{10}Ne$,3.822e-8,19Ne
10-Ne-23,439.99,37.24,S,1,37.24,10,23,Ne,$^{23}_{10}Ne$,1.767e-8,23Ne
10-Ne-23,1635.96,37.24,S,1,37.24,10,23,Ne,$^{23}_{10}Ne$,1.767e-8,23Ne
10-Ne-23,2075.91,37.24,S,1,37.24,10,23,Ne,$^{23}_{10}Ne$,1.767e-8,23Ne
10-Ne-24,472.2,3.38,M,60,202.79999999999998,10,24,Ne,$^{24}_{10}Ne$,3.246e-9,24Ne
10-Ne-24,874.41,3.38,M,60,202.79999999999998,10,24,Ne,$^{24}_{10}Ne$,3.246e-9,24Ne
10-Ne-25,89.53,602,MS,0.001,0.602,10,25,Ne,$^{25}_{10}Ne$,1.093e-6,25Ne
10-Ne-25,979.77,602,MS,0.001,0.602,10,25,Ne,$^{25}_{10}Ne$,1.093e-6,25Ne
10-Ne-25,1069.3,602,MS,0.001,0.602,10,25,Ne,$^{25}_{10}Ne$,1.093e-6,25Ne
10-Ne-26,82.5,197,MS,0.001,0.197,10,26,Ne,$^{26}_{10}Ne$,3.341e-6,26Ne
