energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
3.954,,15.13131169452,0.1941150666809239,AU,L,54,81,Xe,,526.551,0.013,11/2-,15.29,,5,m,917.4,3,IT,99.4,,,,54,81,Xe,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2024-11-28
4.137,,5.2514951900544,0.19339791712053245,AU,L,54,81,Xe,,0,,3/2+,9.14,,2,h,32904,72,B-,100,,1169,4,55,80,Cs,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2024-11-28
24.325,,1.1307952340201437,0.052702371427918455,AU,KLL,54,81,Xe,,526.551,0.013,11/2-,15.29,,5,m,917.4,3,IT,99.4,,,,54,81,Xe,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2024-11-28
25.256,,0.39067672670856246,0.02064600365583146,AU,KLL,54,81,Xe,,0,,3/2+,9.14,,2,h,32904,72,B-,100,,1169,4,55,80,Cs,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2024-11-28
28.864,,0.5258197838193668,0.025150368250047964,AU,KLX,54,81,Xe,,526.551,0.013,11/2-,15.29,,5,m,917.4,3,IT,99.4,,,,54,81,Xe,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2024-11-28
29.1,,1.71779104,0.07985058884918758,AU,K,54,81,Xe,,526.551,0.013,11/2-,15.29,,5,m,917.4,3,IT,99.4,,,,54,81,Xe,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2024-11-28
30.01,,0.18439941500644147,0.00993876507108672,AU,KLX,54,81,Xe,,0,,3/2+,9.14,,2,h,32904,72,B-,100,,1169,4,55,80,Cs,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2024-11-28
30.258,,0.59679776772,0.03147535125992733,AU,K,54,81,Xe,,0,,3/2+,9.14,,2,h,32904,72,B-,100,,1169,4,55,80,Cs,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2024-11-28
33.404,,0.06117602216048977,0.003110716336358614,AU,KXY,54,81,Xe,,526.551,0.013,11/2-,15.29,,5,m,917.4,3,IT,99.4,,,,54,81,Xe,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2024-11-28
34.755,,0.021721626004996074,0.0012257224530247256,AU,KXY,54,81,Xe,,0,,3/2+,9.14,,2,h,32904,72,B-,100,,1169,4,55,80,Cs,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2024-11-28
213.80700000000002,,5.607,0.2074406180091064,CE,K,54,81,Xe,,0,,3/2+,9.14,,2,h,32904,72,B-,100,,1169,4,55,80,Cs,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2024-11-28
244.077,,0.819,0.10269513133542407,CE,L,54,81,Xe,,0,,3/2+,9.14,,2,h,32904,72,B-,100,,1169,4,55,80,Cs,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2024-11-28
248.574,,0.1692,0.021454593913658677,CE,M,54,81,Xe,,0,,3/2+,9.14,,2,h,32904,72,B-,100,,1169,4,55,80,Cs,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2024-11-28
249.561,,0.0405,0.004698137929009747,CE,N+,54,81,Xe,,0,,3/2+,9.14,,2,h,32904,72,B-,100,,1169,4,55,80,Cs,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2024-11-28
249.561,,0.0351,0.004649612887112216,CE,N,54,81,Xe,,0,,3/2+,9.14,,2,h,32904,72,B-,100,,1169,4,55,80,Cs,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2024-11-28
249.769,,0.00477,0.0004772640778437028,CE,O,54,81,Xe,,0,,3/2+,9.14,,2,h,32904,72,B-,100,,1169,4,55,80,Cs,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2024-11-28
322.403,,0.0049392,0.0004664294300320253,CE,K,54,81,Xe,,0,,3/2+,9.14,,2,h,32904,72,B-,100,,1169,4,55,80,Cs,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2024-11-28
