Nucleus,Ex,T1/2,I,μ(nm),A,Z,symbol,latex
0 n 1,0,10.6 m,1/2+,-1.9130427(5) d,1,0,n,$^{1}_{0}n$
1 H 1,0,stable,1/2+,+2.79284734(3) d,1,1,H,$^{1}_{1}H$
1 H 2,0,stable,1+,+0.857438228(9) d,2,1,H,$^{2}_{1}H$
1 H 3,0,12.33 y,1/2+,+2.97896244(4),3,1,H,$^{3}_{1}H$
2 He 3,0,stable,1/2+,-2.12749772(3),3,2,He,$^{3}_{2}He$
3 Li 6,0,stable,1+,+0.8220473(6),6,3,Li,$^{6}_{3}Li$
3 Li 7,0,stable,3/2-,+3.256427(2),7,3,Li,$^{7}_{3}Li$
3 Li 8,0,842 ms,2+,+1.65340(2),8,3,Li,$^{8}_{3}Li$
3 Li 9,0,178 ms,3/2-,3.4391(6),9,3,Li,$^{9}_{3}Li$
3 Li 11,0,7.7 ms,3/2-,3.668(3),11,3,Li,$^{11}_{3}Li$
4 Be 9,0,stable,3/2-,-1.1778(9),9,4,Be,$^{9}_{4}Be$
5 B 8,0,0.77 s,2+,1.0355(3),8,5,B,$^{8}_{5}B$
5 B 10,0,stable,3+,+1.80064478(6),10,5,B,$^{10}_{5}B$
5 B 11,0,stable,3/2-,+2.6886489(10),11,5,B,$^{11}_{5}B$
5 B 12,0,20.4 ms,1+,+1.00272(11),12,5,B,$^{12}_{5}B$
5 B 13,0,17.4 ms,3/2-,+3.1778(5),13,5,B,$^{13}_{5}B$
5 B 14,0,13.8 ms,2-,1.185(5),14,5,B,$^{14}_{5}B$
5 B 15,0,10.3 ms,3/2-,2.659(15),15,5,B,$^{15}_{5}B$
5 B 17,0,5.1 ms,(3/2-),2.55(2),17,5,B,$^{17}_{5}B$
6 C 9,0,126 ms,3/2-,1.3914(5),9,6,C,$^{9}_{6}C$
6 C 11,0,20.4 m,3/2-,-0.964(1),11,6,C,$^{11}_{6}C$
6 C 12,4438,45 fs,2+,,12,6,C,$^{12}_{6}C$
6 C 13,0,stable,1/2-,+0.7024118(14),13,6,C,$^{13}_{6}C$
6 C 14,6728,67 ps,3-,0.82(2),14,6,C,$^{14}_{6}C$
6 C 15,0,2.45 s,1/2+,1.32(7),15,6,C,$^{15}_{6}C$
7 N 12,0,11.0 ms,1+,0.4573(5),12,7,N,$^{12}_{7}N$
7 N 13,0,9.96 m,1/2-,0.3222(4) r,13,7,N,$^{13}_{7}N$
7 N 14,0,stable,1+,+0.40376100(6),14,7,N,$^{14}_{7}N$
7 N 15,0,stable,1/2-,-0.28318884(5),15,7,N,$^{15}_{7}N$
7 N 16,293,91.3 ps,3-,1.60(6),16,7,N,$^{16}_{7}N$
7 N 17,0,4.17 s,1/2-,0.352(2),17,7,N,$^{17}_{7}N$
8 O 13,0,8..6 ms,3/2-,"1.3891(3) d, K",13,8,O,$^{13}_{8}O$
8 O 15,0,122 s,1/2-,0.71951(12) c,15,8,O,$^{15}_{8}O$
8 O 16,6130,18.4 ps,3-,+1.668(12),16,8,O,$^{16}_{8}O$
8 O 17,0,stable,5/2+,-1.89379(9),17,8,O,$^{17}_{8}O$
8 O 18,1982,2.07 ps,2+,-0.57(3),18,8,O,$^{18}_{8}O$
8 O 19,0,27 s,5/2+,1.53195(7) c,19,8,O,$^{19}_{8}O$
8 O 20,1674,7.4 ps,2+,0.70(3),20,8,O,$^{20}_{8}O$
9 F 17,0,64.5 s,5/2+,+4.7213(3),17,9,F,$^{17}_{9}F$
9 F 18,937,47 ps,3+,+1.6(2),18,9,F,$^{18}_{9}F$
9 F 19,0,stable,1/2+,+2.628868(8),19,9,F,$^{19}_{9}F$
9 F 20,0,11 s,2+,+2.09335(9),20,9,F,$^{20}_{9}F$
9 F 21,0,4.16 s,5/2+,3.93(5),21,9,F,$^{21}_{9}F$
10 Ne 19,0,17.3 s,1/2+,-1.88542(8),19,10,Ne,$^{19}_{10}Ne$
10 Ne 20,1634,0.7 ps,2+,+1.08(8),20,10,Ne,$^{20}_{10}Ne$
10 Ne 21,0,stable,3/2+,-0.661797(5),21,10,Ne,$^{21}_{10}Ne$
10 Ne 22,1275,3.6 ps,2+,+0.65(2),22,10,Ne,$^{22}_{10}Ne$
10 Ne 23,0,37.6 s,5/2+,-1.08(1),23,10,Ne,$^{23}_{10}Ne$
11 Na 20,0,0.446 s,2+,+0.3694(2),20,11,Na,$^{20}_{11}Na$
11 Na 21,0,22.5 s,3/2+,+2.83630(10),21,11,Na,$^{21}_{11}Na$
11 Na 22,0,2.60 y,3+,+1.746(3),22,11,Na,$^{22}_{11}Na$
11 Na 23,0,stable,3/2+,+2.217522(2),23,11,Na,$^{23}_{11}Na$
11 Na 24,0,15.0 h,4+,+1.6903(8),24,11,Na,$^{24}_{11}Na$
11 Na 25,0,60 s,5/2+,+3.683(4),25,11,Na,$^{25}_{11}Na$
11 Na 26,0,1.07 s,3+,+2.851(2),26,11,Na,$^{26}_{11}Na$
11 Na 27,0,0.29 s,5/2+,+3.895(5),27,11,Na,$^{27}_{11}Na$
11 Na 28,0,30.5 ms,1+,+2.426(5),28,11,Na,$^{28}_{11}Na$
11 Na 29,0,43 ms,(3/2),+2.449(8),29,11,Na,$^{29}_{11}Na$
11 Na 30,0,53 ms,(2),+2.083(10),30,11,Na,$^{30}_{11}Na$
11 Na 31,0,17 ms,(3/2),+2.305(8),31,11,Na,$^{31}_{11}Na$
12 Mg 23,0,11.3 s,3/2+,0.5364(3),23,12,Mg,$^{23}_{12}Mg$
12 Mg 24,1369,1.45 ps,2+,+1.02(4),24,12,Mg,$^{24}_{12}Mg$
12 Mg 24,1369,1.44 ps,2+,,24,12,Mg,$^{24}_{12}Mg$
12 Mg 25,0,stable,5/2+,-0.85545(8),25,12,Mg,$^{25}_{12}Mg$
12 Mg 26,1809,476 fs,2+,+1.0(3),26,12,Mg,$^{26}_{12}Mg$
13 Al 25,0,7.18 s,5/2+,3.6455(12),25,13,Al,$^{25}_{13}Al$
13 Al 26,0,7x10*5 y,5+,+2.804(4),26,13,Al,$^{26}_{13}Al$
13 Al 27,0,stable,5/2+,+3.6415069(7),27,13,Al,$^{27}_{13}Al$
13 Al 28,0,2.24 m,3+,3.242(5),28,13,Al,$^{28}_{13}Al$
14 Si 27,0,4.1 s,5/2+,"(-)0,8554(4)",27,14,Si,$^{27}_{14}Si$
14 Si 28,1779,0.49 ps,2+,+1.1(2),28,14,Si,$^{28}_{14}Si$
14 Si 29,0,stable,1/2+,-0.55529(3),29,14,Si,$^{29}_{14}Si$
14 Si 30,2235,0.25 ps,2+,+0.8(2),30,14,Si,$^{30}_{14}Si$
14 Si 32,1941,0.4 ps,2+,,32,14,Si,$^{32}_{14}Si$
14 Si 33,0,6.332 s,(3/2+),1.21(3),33,14,Si,$^{33}_{14}Si$
15 P 29,0,4.1 s,1/2+,1.2349(3),29,15,P,$^{29}_{15}P$
15 P 31,0,stable,1/2+,+1.13160(3),31,15,P,$^{31}_{15}P$
15 P 31,0,14.28 d,1+,-0.2524(3),31,15,P,$^{31}_{15}P$
16 S 31,0,2.6 s,1/2+,0.48793(8),31,16,S,$^{31}_{16}S$
16 S 32,2230,0.16 ps,2+,+0.9(2),32,16,S,$^{32}_{16}S$
16 S 33,0,stable,3/2+,+0.6438212(14),33,16,S,$^{33}_{16}S$
16 S 34,2128,0.32 ps,2+,+1.0(2),34,16,S,$^{34}_{16}S$
16 S 35,0,87.4 d,3/2+,+1.00(4) or +1.07(4),35,16,S,$^{35}_{16}S$
17 Cl 33,0,2.52 s,3/2+,+0.752(2),33,17,Cl,$^{33}_{17}Cl$
17 Cl 35,0,stable,3/2+,+0.8218743(4),35,17,Cl,$^{35}_{17}Cl$
17 Cl 36,0,3.0x105 y,2+,+1.28547(5),36,17,Cl,$^{36}_{17}Cl$
17 Cl 37,0,stable,3/2+,+0.6841236(4),37,17,Cl,$^{37}_{17}Cl$
17 Cl 38,0,37.3 m,2-,2.05(2),38,17,Cl,$^{38}_{17}Cl$
18 Ar 33,0,0.174 s,1/2+,-0.723(6),33,18,Ar,$^{33}_{18}Ar$
18 Ar 35,0,1.78s,3/2+,+0.633(7),35,18,Ar,$^{35}_{18}Ar$
18 Ar 36,1970,0.28 ps,2+,,36,18,Ar,$^{36}_{18}Ar$
18 Ar 37,0,35.0 d,3/2+,+0.8(3),37,18,Ar,$^{37}_{18}Ar$
18 Ar 39,0,269 y,7/2-,-1.588(15),39,18,Ar,$^{39}_{18}Ar$
18 Ar 40,1461,1.12 ps,2+,-0.2(2),40,18,Ar,$^{40}_{18}Ar$
19 K 36,0,0.34 s,2+,(+)0.548(1),36,19,K,$^{36}_{19}K$
19 K 37,0,1.23 s,3/2+,+0.20321(6),37,19,K,$^{37}_{19}K$
19 K 38,0,7.61 m,3+,+1.371(6),38,19,K,$^{38}_{19}K$
19 K 39,0,stable,3/2+,+0.39147(3),39,19,K,$^{39}_{19}K$
19 K 40,0,1.28 x 109 y,4-,-1.298100(3),40,19,K,$^{40}_{19}K$
19 K 41,0,stable,3/2+,+0.2148701(2),41,19,K,$^{41}_{19}K$
19 K 42,0,12.36 h,2-,-1.1425(6),42,19,K,$^{42}_{19}K$
19 K 43,0,22.3 h,3/2+,+0.1633(8),43,19,K,$^{43}_{19}K$
19 K 44,0,22.1 m,2-,-0.856(4),44,19,K,$^{44}_{19}K$
19 K 45,0,20 m,3/2+,+0.1734(8),45,19,K,$^{45}_{19}K$
19 K 46,0,115 s,2-,-1.051(6),46,19,K,$^{46}_{19}K$
19 K 47,0,17.5 s,1/2+,+1.933(9),47,19,K,$^{47}_{19}K$
